"","month","microsite","site","temp","smc","statistic"
"1",2,"open",1,13.488785440613,0.139270067049808,"mean"
"2",3,"open",1,13.730100586378,0.170196707262066,"mean"
"3",4,"open",1,18.5603538672142,0.120591375770021,"mean"
"4",5,"open",1,22.8185709459459,0.0768823198198198,"mean"
"5",2,"shrub",1,13.3447394636015,0.122655316091954,"mean"
"6",3,"shrub",1,14.214460125448,0.146075224014337,"mean"
"7",4,"shrub",1,19.9838384259259,0.0888523148148148,"mean"
"8",5,"shrub",1,23.4317124624625,0.0497617117117117,"mean"
"9",2,"open",2,13.6813577586207,0.188976436781609,"mean"
"10",3,"open",2,13.5634287634409,0.229093817204301,"mean"
"11",4,"open",2,17.2563611111111,0.131055833333333,"mean"
"12",5,"open",2,20.3867297297297,0.0757051801801802,"mean"
"13",2,"shrub",2,13.2282442528736,0.207361637931034,"mean"
"14",3,"shrub",2,12.9682580645161,0.275349865591398,"mean"
"15",4,"shrub",2,17.351975,0.223949861111111,"mean"
"16",5,"shrub",2,20.4425495495496,0.183047522522523,"mean"
"17",2,"open",5,15.3365086206897,0.126430316091954,"mean"
"18",3,"open",5,15.2941935483871,0.193993951612903,"mean"
"19",4,"open",5,18.6947720364742,0.139348480243161,"mean"
"20",5,"open",5,28.722131147541,-0.310470491803279,"mean"
"21",2,"shrub",5,15.679683908046,0.0580817528735632,"mean"
"22",3,"shrub",5,15.0345833333333,0.144313978494624,"mean"
"23",4,"shrub",5,18.326534351145,0.0761567938931298,"mean"
"24",2,"open",6,15.9590373563218,0.12260933908046,"mean"
"25",3,"open",6,15.3333602150538,0.194898521505376,"mean"
"26",4,"open",6,18.7045972222222,0.109333333333333,"mean"
"27",5,"open",6,20.4109399477807,0.0599396866840731,"mean"
"28",2,"shrub",6,16.6393965517241,0.0637948275862069,"mean"
"29",3,"shrub",6,16.7556989247312,0.0734490591397849,"mean"
"30",4,"shrub",6,20.6182916666667,0.0156855555555556,"mean"
"31",5,"shrub",6,22.4137592137592,-0.0336412776412776,"mean"
"32",2,"open",1,0.253646472501934,0.0022981536415833,"SE"
"33",3,"open",1,0.245539740450545,0.00151462723954876,"SE"
"34",4,"open",1,0.347651805033548,0.0012320562806367,"SE"
"35",5,"open",1,0.478706679346723,0.000498435923232779,"SE"
"36",2,"shrub",1,0.234455592354354,0.00216709222282461,"SE"
"37",3,"shrub",1,0.253364312704563,0.00147272879686348,"SE"
"38",4,"shrub",1,0.319460122800283,0.00109217700093172,"SE"
"39",5,"shrub",1,0.411361785958464,0.000544356178732256,"SE"
"40",2,"open",2,0.406709199247648,0.00439819385453796,"SE"
"41",3,"open",2,0.414805805956655,0.00190599247994496,"SE"
"42",4,"open",2,0.449186727433955,0.00180973278066275,"SE"
"43",5,"open",2,0.555407721516184,0.000540773126954096,"SE"
"44",2,"shrub",2,0.385130979749808,0.00698987182457464,"SE"
"45",3,"shrub",2,0.389317118481537,0.0015543951208244,"SE"
"46",4,"shrub",2,0.449023566936016,0.00169219859474015,"SE"
"47",5,"shrub",2,0.544560259131812,0.00087206657324019,"SE"
"48",2,"open",5,0.365953998000886,0.00322479586665027,"SE"
"49",3,"open",5,0.357766234469794,0.00167015828204066,"SE"
"50",4,"open",5,0.419789221197162,0.00177322489458228,"SE"
"51",5,"open",5,0.711605982399253,0.0047783690025089,"SE"
"52",2,"shrub",5,0.412377826792644,0.00303288129840132,"SE"
"53",3,"shrub",5,0.366804328000741,0.00293096681320717,"SE"
"54",4,"shrub",5,0.423032704777684,0.00105415099665825,"SE"
"55",2,"open",6,0.391032760851549,0.00361620978173449,"SE"
"56",3,"open",6,0.343890777215843,0.00298387877086792,"SE"
"57",4,"open",6,0.374773378912693,0.00130992412494183,"SE"
"58",5,"open",6,0.529347726709533,0.00402639960967753,"SE"
"59",2,"shrub",6,0.40067375693229,0.00198141987672957,"SE"
"60",3,"shrub",6,0.41440230063361,0.00302723228933923,"SE"
"61",4,"shrub",6,0.46848726675721,0.00221985559576562,"SE"
"62",5,"shrub",6,0.636016898548872,0.000636564855655949,"SE"
"63",2,"open",1,41.3512068965517,0.193658620689655,"max"
"64",3,"open",1,40.5341935483871,0.216658064516129,"max"
"65",4,"open",1,44.5346,0.14558,"max"
"66",5,"open",1,50.8303684210526,0.0990263157894737,"max"
