site,logger,id,year,month,day,hour,date,microsite,temp,smc
6,10859595,,2016,2,1,0,2/1/2016,open,21.819,-0.0579
6,10859595,,2016,2,1,1,2/1/2016,open,21.724,-0.0587
6,10859595,,2016,2,1,2,2/1/2016,open,21.676,-0.0587
6,10859595,,2016,2,1,3,2/1/2016,open,21.604,-0.0587
6,10859595,,2016,2,1,4,2/1/2016,open,21.557,-0.0579
6,10859595,,2016,2,1,5,2/1/2016,open,21.485,-0.0587
6,10859595,,2016,2,1,6,2/1/2016,open,21.413,-0.0579
6,10859595,,2016,2,1,7,2/1/2016,open,21.366,-0.0587
6,10859595,,2016,2,1,8,2/1/2016,open,21.318,-0.0579
6,10859595,,2016,2,1,9,2/1/2016,open,21.437,-0.0587
6,10859595,,2016,2,1,10,2/1/2016,open,21.318,-0.0579
6,10859595,,2016,2,1,11,2/1/2016,open,21.628,-0.0579
6,10859595,,2016,2,1,12,2/1/2016,open,21.724,-0.0579
6,10859595,,2016,2,1,13,2/1/2016,open,21.795,-0.0587
6,10859595,,2016,2,1,14,2/1/2016,open,21.963,-0.0579
6,10859595,,2016,2,1,15,2/1/2016,open,22.034,-0.0579
6,10859595,,2016,2,1,16,2/1/2016,open,22.106,-0.0579
6,10859595,,2016,2,1,17,2/1/2016,open,22.154,-0.0579
6,10859595,,2016,2,1,18,2/1/2016,open,22.25,-0.0579
6,10859595,,2016,2,1,19,2/1/2016,open,22.154,-0.0579
6,10859595,,2016,2,1,20,2/1/2016,open,22.011,-0.0579
6,10859595,,2016,2,1,21,2/1/2016,open,21.915,-0.0579
6,10859595,,2016,2,1,22,2/1/2016,open,21.843,-0.0579
6,10859595,,2016,2,1,23,2/1/2016,open,21.772,-0.0579
6,10859595,,2016,2,2,0,2/2/2016,open,21.7,-0.0579
6,10859595,,2016,2,2,1,2/2/2016,open,21.628,-0.0579
6,10859595,,2016,2,2,2,2/2/2016,open,21.557,-0.0579
6,10859595,,2016,2,2,3,2/2/2016,open,21.485,-0.0579
6,10859595,,2016,2,2,4,2/2/2016,open,21.39,-0.0579
6,10859595,,2016,2,2,5,2/2/2016,open,21.318,-0.0579
6,10859595,,2016,2,2,6,2/2/2016,open,21.175,-0.0579
6,10859595,,2016,2,2,7,2/2/2016,open,21.032,-0.0587
6,10859595,,2016,2,2,8,2/2/2016,open,20.96,-0.0579
6,10859595,,2016,2,2,9,2/2/2016,open,20.889,-0.0587
6,10859595,,2016,2,2,10,2/2/2016,open,21.056,-0.0579
6,10859595,,2016,2,2,11,2/2/2016,open,20.436,-0.0587
6,10859595,,2016,2,2,12,2/2/2016,open,20.15,-0.0579
6,10859595,,2016,2,2,13,2/2/2016,open,20.674,-0.0587
6,10859595,,2016,2,2,14,2/2/2016,open,21.008,-0.0579
6,10859595,,2016,2,2,15,2/2/2016,open,23.208,-0.0173
6,10859595,,2016,2,2,16,2/2/2016,open,23.088,-0.015
6,10859595,,2016,2,2,17,2/2/2016,open,22.106,-0.0167
6,10859595,,2016,2,2,18,2/2/2016,open,20.698,-0.0173
6,10859595,,2016,2,2,19,2/2/2016,open,20.031,-0.0173
6,10859595,,2016,2,2,20,2/2/2016,open,19.056,-0.0173
6,10859595,,2016,2,2,21,2/2/2016,open,17.748,-0.0191
6,10859595,,2016,2,2,22,2/2/2016,open,16.463,-0.0203
6,10859595,,2016,2,2,23,2/2/2016,open,15.318,-0.021
6,10859595,,2016,2,3,0,2/3/2016,open,14.05,-0.0228
6,10859595,,2016,2,3,1,2/3/2016,open,12.871,-0.0247
6,10859595,,2016,2,3,2,2/3/2016,open,11.734,-0.0247
6,10859595,,2016,2,3,3,2/3/2016,open,10.687,-0.0265
6,10859595,,2016,2,3,4,2/3/2016,open,9.756,-0.0278
6,10859595,,2016,2,3,5,2/3/2016,open,8.866,-0.0278
6,10859595,,2016,2,3,6,2/3/2016,open,8.095,-0.0284
6,10859595,,2016,2,3,7,2/3/2016,open,7.469,-0.0297
6,10859595,,2016,2,3,8,2/3/2016,open,7.192,-0.0297
6,10859595,,2016,2,3,9,2/3/2016,open,11.005,-0.0278
6,10859595,,2016,2,3,10,2/3/2016,open,13.522,-0.0259
6,10859595,,2016,2,3,11,2/3/2016,open,15.414,-0.0316
6,10859595,,2016,2,3,12,2/3/2016,open,18.366,-0.0265
6,10859595,,2016,2,3,13,2/3/2016,open,18.889,-0.0247
6,10859595,,2016,2,3,14,2/3/2016,open,20.579,-0.024
6,10859595,,2016,2,3,15,2/3/2016,open,23.208,-0.0191
6,10859595,,2016,2,3,16,2/3/2016,open,25.089,-0.0185
6,10859595,,2016,2,3,17,2/3/2016,open,22.8,-0.0191
6,10859595,,2016,2,3,18,2/3/2016,open,8.245,-0.0284
6,10859595,,2016,2,3,19,2/3/2016,open,5.975,-0.0329
6,10859595,,2016,2,3,20,2/3/2016,open,4.636,-0.0369
