site,shrub.ID,x,y,z,codes,status,treatment,microsite,type.sensor,sensor.ID
1,146,4.7,5,1.8,feb.2016,original,clipped,shrub,temp,10836761
1,146,4.7,5,1.8,may.2016,replaced,clipped,shrub,temp,10836761
1,158,6.6,5.5,1.8,feb.2016,original,clipped,shrub,temp,10868934
1,158,6.6,5.5,1.8,may.2016,replaced,clipped,shrub,temp,10868934
1,161,2.2,2.3,1.2,feb.2016,original,unclipped,shrub,temp,10868946
1,161,2.2,2.3,1.2,may.2016,replaced,unclipped,shrub,temp,10868946
1,155,4.7,5,1.8,feb.2016,original,unclipped,shrub,temp,10868947
1,149,3.6,5,2.1,feb.2016,original,unclipped,shrub,temp,10868949
1,149,3.6,5,2.1,may.2016,replaced,unclipped,shrub,temp,10868949
1,155,4.7,5,1.8,may.2016,replaced,unclipped,shrub,temp,10868968
1,152,2.3,2.3,1.3,feb.2016,original,clipped,shrub,temp,10869848
1,152,2.3,2.3,1.3,may.2016,replaced,clipped,shrub,temp,10869848
1,149,3.6,5,2.1,feb.2017,replaced,clipped,shrub,temp,10981824
1,161,2.2,2.3,1.2,feb.2017,replaced,clipped,shrub,temp,10981826
1,155,4.7,5,1.8,feb.2017,replaced,clipped,shrub,temp,10981828
2,192,4,4,1.6,feb.2016,original,clipped,shrub,temp,10836748
2,194,2.1,1.7,0.7,feb.2016,original,unclipped,shrub,temp,10836750
2,194,2.1,1.7,0.7,may.2016,original,unclipped,shrub,temp,10836750
2,196,4.7,4.6,1.8,feb.2016,original,clipped,shrub,temp,10836750
2,196,4.7,4.6,1.8,may.2016,replaced,clipped,shrub,temp,10836750
2,200,3.5,4.1,1.4,feb.2016,original,unclipped,shrub,temp,10836753
2,200,3.5,4.1,1.4,may.2016,replaced,unclipped,shrub,temp,10836753
2,190,3.6,3.3,1.6,feb.2016,original,unclipped,shrub,temp,10837752
2,190,3.6,3.3,1.6,may.2016,replaced,unclipped,shrub,temp,10837752
2,192,4,4,1.6,may.2016,replaced,clipped,shrub,temp,10868970
2,188,3.5,3,1.6,feb.2016,original,clipped,shrub,temp,10868971
2,188,3.5,3,1.6,may.2016,replaced,clipped,shrub,temp,10868971
2,188,3.5,3,1.6,feb.2017,replaced,unclipped,shrub,temp,10981823
3,126,2.8,2.9,1.6,feb.2016,original,clipped,shrub,temp,10836777
3,126,2.8,2.9,1.6,may.2016,replaced,clipped,shrub,temp,10836777
4,137,2.9,2.1,2,feb.2016,original,unclipped,shrub,temp,10836758
4,137,2.9,2.1,2,may.2016,replaced,unclipped,shrub,temp,10836758
4,133,2.9,2.8,1.3,feb.2016,original,unclipped,shrub,temp,10836773
4,133,2.9,2.8,1.3,may.2016,replaced,unclipped,shrub,temp,10836773
4,130,2.6,2.3,1.5,feb.2016,original,clipped,shrub,temp,10836778
4,130,2.6,2.3,1.5,may.2016,replaced,clipped,shrub,temp,10836778
4,140,2.9,3.2,1.8,feb.2016,original,clipped,shrub,temp,10836783
4,140,2.9,3.2,1.8,may.2016,replaced,clipped,shrub,temp,10836783
4,143,3.5,4.5,2.1,feb.2016,original,unclipped,shrub,temp,10836785
4,143,3.5,4.5,2.1,may.2016,replaced,unclipped,shrub,temp,10836785
4,198,2.2,2,1.4,feb.2016,original,clipped,shrub,temp,10868958
4,198,2.2,2,1.4,may.2016,replaced,clipped,shrub,temp,10868958
5,184,1.7,1.5,0.7,feb.2016,original,unclipped,shrub,temp,1083674
5,184,1.7,1.5,0.7,may.2016,replaced,unclipped,shrub,temp,1083674
5,186,0.8,1.5,0.7,feb.2017,replaced,clipped,shrub,temp,1098132
5,180,1.3,1.5,1.1,feb.2016,original,unclipped,shrub,temp,10836747
5,180,1.3,1.5,1.1,may.2016,original,unclipped,shrub,temp,10836747
5,182,1.9,2,1.4,feb.2016,original,clipped,shrub,temp,10868944
5,186,0.8,1.5,0.7,feb.2016,original,clipped,shrub,temp,10868956
5,186,0.8,1.5,0.7,may.2016,replaced,clipped,shrub,temp,10868956
5,182,1.9,2,1.4,may.2016,replaced,clipped,shrub,temp,10868962
5,178,2.1,2.2,1.5,feb.2016,original,clipped,shrub,temp,10868969
5,178,2.1,2.2,1.5,may.2016,replaced,clipped,shrub,temp,10868969
