site,shrub.rep,shrub.ID,x,y,z,codes,status,t shrub,t open,m shrub,m open,treatment
1,1,146,4.7,5,1.8,feb.2016,original,10836761,10836760,10879392,10879396,clipped
1,2,149,3.6,5,2.1,feb.2016,original,10868949,10868939,10880705,10880704,unclipped
1,3,,6.7,5.6,2,feb.2016,original,,,,,
1,4,,4.9,5.5,2,feb.2016,original,,,,,
1,5,,3.8,4,2,feb.2016,original,,,,,
1,6,,3.6,4.3,1.4,feb.2016,original,,,,,
1,7,,4,4.2,1.4,feb.2016,original,,,,,
1,8,158,6.6,5.5,1.8,feb.2016,original,10868934,10868935,10880697,10880699,clipped
1,9,,4.6,4.9,1.4,feb.2016,original,,,,,
1,10,161,2.2,2.3,1.2,feb.2016,original,10868946,10869836,10880698,10880701,unclipped
1,11,,4.6,4.4,1.6,feb.2016,original,,,,,
1,12,,5.1,4.4,1.5,feb.2016,original,,,,,
1,13,,6.2,7.5,1.6,feb.2016,original,,,,,
1,14,,6.9,3.6,1.1,feb.2016,original,,,,,
1,15,,4.7,3.9,1.4,feb.2016,original,,,,,
1,16,,4.4,3.1,1.7,feb.2016,original,,,,,
1,17,,3.4,3.6,1.7,feb.2016,original,,,,,
1,18,,3.9,3.8,1.3,feb.2016,original,,,,,
1,19,,5.5,4.4,1.8,feb.2016,original,,,,,
1,20,,4.1,3,1.1,feb.2016,original,,,,,
1,21,,3,3,1.6,feb.2016,original,,,,,
1,22,,2.9,2.4,1.2,feb.2016,original,,,,,
1,23,,2.1,2.5,1,feb.2016,original,,,,,
1,24,,3.3,2.8,1.8,feb.2016,original,,,,,
1,25,,3.9,3,1.5,feb.2016,original,,,,,
1,26,,3,3.4,1.5,feb.2016,original,,,,,
1,27,,3.7,1.2,6,feb.2016,original,,,,,
1,28,,2.5,3.1,1.4,feb.2016,original,,,,,
1,29,152,2.3,2.3,1.3,feb.2016,original,10869848,10868938,10880703,10880702,clipped
1,30,155,4.7,5,1.8,feb.2016,original,10868947,10868937,10880700,10880699,unclipped
2,1,,3.2,3.5,1.6,feb.2016,original,,,,,
2,2,,2.6,2.4,1.4,feb.2016,original,,,,,
2,3,200,3.5,4.1,1.4,feb.2016,original,10836753,10836764,10879374,10879384,unclipped
2,4,196,4.7,4.6,1.8,feb.2016,original,10836750,10836751,10879386,10879385,clipped
2,5,,4.1,3.9,1.8,feb.2016,original,,,,,
2,6,,2.2,2.3,1.3,feb.2016,original,,,,,
2,7,,2.2,1.9,1.4,feb.2016,original,,,,,
2,8,,3.4,3.4,1.8,feb.2016,original,,,,,
2,9,,3.1,3.5,1.9,feb.2016,original,,,,,
2,10,,3.6,3.7,1.6,feb.2016,original,,,,,
2,11,,2.5,2.7,1.5,feb.2016,original,,,,,
2,12,192,4,4,1.6,feb.2016,original,10836748,10836749,10879369,109377,clipped
2,13,,2.8,2.9,1.9,feb.2016,original,,,,,
2,14,,3.4,3,1.9,feb.2016,original,,,,,
2,15,194,2.1,1.7,0.7,feb.2016,original,10836750,10836751,10879386,10879385,unclipped
2,16,,1.5,1.6,1.1,feb.2016,original,,,,,
2,17,,4.1,5.7,2.1,feb.2016,original,,,,,
2,18,,2.6,2.6,1.4,feb.2016,original,,,,,
2,19,,1.6,1.5,1.3,feb.2016,original,,,,,
2,20,,3.8,4.2,1.6,feb.2016,original,,,,,
2,21,,1.6,2.1,1.3,feb.2016,original,,,,,
2,22,,3.1,2.7,1.4,feb.2016,original,,,,,
2,23,,4.3,3.1,1.8,feb.2016,original,,,,,
2,24,,3.1,3.5,1.7,feb.2016,original,,,,,
2,25,,3.4,4.3,2.1,feb.2016,original,,,,,
2,26,190,3.6,3.3,1.6,feb.2016,original,10837752,10868961,10879379,10879390,unclipped
2,27,,3.5,3.9,2,feb.2016,original,,,,,
2,28,,3.8,4.1,2,feb.2016,original,,,,,
2,29,188,3.5,3,1.6,feb.2016,original,10868971,10868967,10879368,10879370,clipped
2,30,,2.5,2.5,1.2,feb.2016,original,,,,,
3,1,,3.1,3.2,1.9,feb.2016,original,,,,,
3,2,,3.4,3.7,1.8,feb.2016,original,,,,,
3,3,,2.8,2.8,1.6,feb.2016,original,,,,,
3,4,,2.2,1.7,1.3,feb.2016,original,,,,,
3,5,,2.3,1.8,1.5,feb.2016,original,,,,,
3,6,,3.8,2.5,1.7,feb.2016,original,,,,,
3,7,,2.3,2.5,1.5,feb.2016,original,,,,,
3,8,,2.5,2.2,1.6,feb.2016,original,,,,,
3,9,126,2.8,2.9,1.6,feb.2016,original,10836777,10836776,10880729,10880728,clipped
3,10,,2.3,2.9,1.6,feb.2016,original,,,,,
3,11,,3.9,3,1.5,feb.2016,original,,,,,
3,12,123,4.3,4.4,1.8,feb.2016,original,,,,,unclipped
3,13,120,4.3,3.7,2.2,feb.2016,original,,,,,clipped
3,14,117,4.6,4.2,2.1,feb.2016,original,,,,,unclipped
3,15,114,3.8,3.1,1.2,feb.2016,original,,,,,clipped
3,16,,1.8,1.4,1.2,feb.2016,original,,,,,
3,17,,2.4,2.1,1.4,feb.2016,original,,,,,
3,18,,4.7,5,1.8,feb.2016,original,,,,,
3,19,,1.5,1.6,0.8,feb.2016,original,,,,,
3,20,,2.8,3.1,1.6,feb.2016,original,,,,,
3,21,,2.7,3.5,1.5,feb.2016,original,,,,,
3,22,,2,2.1,1.5,feb.2016,original,,,,,
3,23,,1.4,1.5,1.5,feb.2016,original,,,,,
3,24,,1.6,1.9,1.6,feb.2016,original,,,,,
3,25,,3.5,6.1,2.2,feb.2016,original,,,,,
3,26,,4,3.1,2.3,feb.2016,original,,,,,
3,27,111,3.6,3.5,1.8,feb.2016,original,,,,,unclipped
3,28,,3.1,2.6,1.7,feb.2016,original,,,,,
3,29,,1.2,1.3,1.3,feb.2016,original,,,,,
3,30,,2.5,2.4,1.7,feb.2016,original,,,,,
4,1,,14,1,0.9,feb.2016,original,,,,,
4,2,,3.3,3.4,1.7,feb.2016,original,,,,,
4,3,,1.4,2.1,0.9,feb.2016,original,,,,,
4,4,198,2.2,2,1.4,feb.2016,original,10868958,10868959,10879388,10879400,clipped
4,5,,1.1,1,1,feb.2016,original,,,,,
4,6,137,2.9,2.1,2,feb.2016,original,10836758,10836762,10879395,10879383,unclipped
4,7,130,2.6,2.3,1.5,feb.2016,original,10836778,10836780,10880721,10880725,clipped
4,8,,1.6,2.1,1.6,feb.2016,original,,,,,
4,9,,1.9,2.2,1.8,feb.2016,original,,,,,
4,10,,1.6,1.4,1.3,feb.2016,original,,,,,
4,11,,3.2,1.7,1.8,feb.2016,original,,,,,
4,12,,2.7,3.2,1.9,feb.2016,original,,,,,
4,13,,2.3,1.7,1.7,feb.2016,original,,,,,
4,14,,1.7,1.4,1.3,feb.2016,original,,,,,
4,15,,1.8,1.8,1.5,feb.2016,original,,,,,
4,16,,3,3.4,1.6,feb.2016,original,,,,,
4,17,133,2.9,2.8,1.3,feb.2016,original,10836773,10836772,10880716,10880718,unclipped
4,18,140 or 141?,2.9,3.2,1.8,feb.2016,original,10836783,10836782,10880720,10880719,clipped
4,19,,2.3,2.2,1.5,feb.2016,original,,,,,
4,20,143,3.5,4.5,2.1,feb.2016,original,10836785,10836784,10880722,10880723,unclipped
4,21,,0.9,1,1.1,feb.2016,original,,,,,
4,22,,0.7,0.6,0.7,feb.2016,original,,,,,
4,23,,2.7,1.8,1.5,feb.2016,original,,,,,
4,24,,0.9,0.7,1,feb.2016,original,,,,,
4,25,,1.3,1.4,1.5,feb.2016,original,,,,,
4,26,,2.4,2.1,1.6,feb.2016,original,,,,,
4,27,,3.4,3.8,1.8,feb.2016,original,,,,,
4,28,,3.2,3.1,1.9,feb.2016,original,,,,,
4,29,,3.9,2.9,1.8,feb.2016,original,,,,,
4,30,,1.7,1.9,1.3,feb.2016,original,,,,,
5,1,,2.7,2.3,1.6,feb.2016,original,,,,,
5,2,,2,1.7,0.9,feb.2016,original,,,,,
5,3,,1.1,1.7,0.9,feb.2016,original,,,,,
5,4,186,0.8,1.5,0.7,feb.2016,original,10868956,10868957,10879307,10879389,clipped
5,5,,1.7,1.5,0.7,feb.2016,original,,,,,
5,6,,2.6,3.3,1.8,feb.2016,original,,,,,
5,7,,0.4,0.4,0.6,feb.2016,original,,,,,
5,8,,1.2,1.5,1.2,feb.2016,original,,,,,
5,9,,2.2,2.3,1.3,feb.2016,original,,,,,
5,10,,1.3,1.5,1.3,feb.2016,original,,,,,
5,11,,1.8,1.9,1.3,feb.2016,original,,,,,
5,12,,1.6,1.4,1,feb.2016,original,,,,,
5,13,182,1.9,2,1.4,feb.2016,original,10868944,10868945,10880694,10880694,clipped
5,14,,1.9,1.1,0.7,feb.2016,original,,,,,
5,15,,1.2,1.2,0.9,feb.2016,original,,,,,
5,16,,3.7,1.1,0.5,feb.2016,original,,,,,
5,17,184,1.7,1.5,0.7,feb.2016,original,1083674,10836759,10879399,10879363,unclipped
5,18,,0.6,0.7,0.7,feb.2016,original,,,,,
5,19,180,1.3,1.5,1.1,feb.2016,original,10836747,10868972,10888714,10879398,unclipped
5,20,,1.4,1.5,1.1,feb.2016,original,,,,,
5,21,178,2.1,2.2,1.5,feb.2016,original,10868969,10868966,10879376,10879378,clipped
5,22,176,2.1,3.6,1.5,feb.2016,original,10868973,10868964,1087937_,10879391,unclipped
5,23,,1.2,1.3,1.1,feb.2016,original,,,,,
5,24,,1.9,2,0.8,feb.2016,original,,,,,
5,25,,1.9,2.4,1.3,feb.2016,original,,,,,
5,26,,2.1,1.5,1.2,feb.2016,original,,,,,
5,27,,1.9,1.7,1.3,feb.2016,original,,,,,
5,28,,1.9,1.8,1.2,feb.2016,original,,,,,
5,29,,1.7,1.3,1.4,feb.2016,original,,,,,
5,30,,2.8,3.4,1.9,feb.2016,original,,,,,
6,1,,1.8,2,1.3,feb.2016,original,,,,,
6,2,174,2,1.8,1.4,feb.2016,original,10868941,10868940,10880711,10880712,clipped
6,3,,1.7,1.8,1.5,feb.2016,original,,,,,
6,4,164,2.2,3.3,1.8,feb.2016,original,10876763,10836765,10879364,10879381,unclipped
6,5,,1.4,0.9,1.8,feb.2016,original,,,,,
6,6,,1.4,1.3,1.4,feb.2016,original,,,,,
6,7,,2.2,1.7,1.3,feb.2016,original,,,,,
6,8,172,1.7,1.8,1.1,feb.2016,original,10836756,10868954,10879380,10879372,unclipped
6,9,,1.8,2.2,1.4,feb.2016,original,,,,,
6,10,,2,1.9,1.4,feb.2016,original,,,,,
6,11,,1.8,1.6,1.5,feb.2016,original,,,,,
6,12,,2.2,2.2,1.5,feb.2016,original,,,,,
6,13,,1.5,1.6,1.3,feb.2016,original,,,,,
6,14,,1.4,1.5,1.3,feb.2016,original,,,,,
6,15,,1.9,1.7,1.1,feb.2016,original,,,,,
6,16,,1.3,1.9,1.3,feb.2016,original,,,,,
6,17,,1.6,1.6,1.1,feb.2016,original,,,,,
6,18,,1.1,1.2,0.9,feb.2016,original,,,,,
6,19,168,2.3,2.4,1.4,feb.2016,original,10868951,10868950,10868951,10880707,unclipped
6,20,,1.8,2,1.6,feb.2016,original,,,,,
6,21,,2,2.1,1.7,feb.2016,original,,,,,
6,22,166,1.8,2,1.2,feb.2016,original,10868942,10868943,10880709,10868943,clipped
6,23,,1.3,1,1.1,feb.2016,original,,,,,
6,24,,1.5,1.3,1.1,feb.2016,original,,,,,
6,25,,1.9,2.1,1.3,feb.2016,original,,,,,
6,26,,1.6,1.8,1.3,feb.2016,original,,,,,
6,27,,1.7,2.2,1.3,feb.2016,original,,,,,
6,28,,2.1,2.6,1.4,feb.2016,original,,,,,
6,29,170,2.1,3.2,1.6,feb.2016,original,10868953,10868952,10880710,10880708,clipped
6,30,,1.9,1.7,1.2,feb.2016,original,,,,,
1,1,146,4.7,5,1.8,may.2016,replaced,10836761,10836760,10879392,10879396,clipped
1,2,149,3.6,5,2.1,may.2016,replaced,10868949,10868939,10880705,10880704,unclipped
1,3,,6.7,5.6,2,may.2016,original,,,,,
1,4,,4.9,5.5,2,may.2016,original,,,,,
1,5,,3.8,4,2,may.2016,original,,,,,
1,6,,3.6,4.3,1.4,may.2016,original,,,,,
1,7,,4,4.2,1.4,may.2016,original,,,,,
1,8,158,6.6,5.5,1.8,may.2016,replaced,10868934,10868935,10880697,10880699,clipped
1,9,,4.6,4.9,1.4,may.2016,original,,,,,
1,10,161,2.2,2.3,1.2,may.2016,replaced,10868946,10869836,10880698,10880701,unclipped
1,11,,4.6,4.4,1.6,may.2016,original,,,,,
1,12,,5.1,4.4,1.5,may.2016,original,,,,,
1,13,,6.2,7.5,1.6,may.2016,original,,,,,
1,14,,6.9,3.6,1.1,may.2016,original,,,,,
1,15,,4.7,3.9,1.4,may.2016,original,,,,,
1,16,,4.4,3.1,1.7,may.2016,original,,,,,
1,17,,3.4,3.6,1.7,may.2016,original,,,,,
1,18,,3.9,3.8,1.3,may.2016,original,,,,,
1,19,,5.5,4.4,1.8,may.2016,original,,,,,
1,20,,4.1,3,1.1,may.2016,original,,,,,
1,21,,3,3,1.6,may.2016,original,,,,,
1,22,,2.9,2.4,1.2,may.2016,original,,,,,
1,23,,2.1,2.5,1,may.2016,original,,,,,
1,24,,3.3,2.8,1.8,may.2016,original,,,,,
1,25,,3.9,3,1.5,may.2016,original,,,,,
1,26,,3,3.4,1.5,may.2016,original,,,,,
1,27,,3.7,1.2,6,may.2016,original,,,,,
1,28,,2.5,3.1,1.4,may.2016,original,,,,,
1,29,152,2.3,2.3,1.3,may.2016,replaced,10869848,10836748,10880703,10880702,clipped
1,30,155,4.7,5,1.8,may.2016,replaced,10868968,10868960,10879393,10879373,unclipped
2,1,,3.2,3.5,1.6,may.2016,original,,,,,
2,2,,2.6,2.4,1.4,may.2016,original,,,,,
2,3,200,3.5,4.1,1.4,may.2016,replaced,10836753,10836764,10879374,10879384,unclipped
2,4,196,4.7,4.6,1.8,may.2016,replaced,10836750,10836751,10879386,10879385,clipped
2,5,,4.1,3.9,1.8,may.2016,original,,,,,
2,6,,2.2,2.3,1.3,may.2016,original,,,,,
2,7,,2.2,1.9,1.4,may.2016,original,,,,,
2,8,,3.4,3.4,1.8,may.2016,original,,,,,
2,9,,3.1,3.5,1.9,may.2016,original,,,,,
2,10,,3.6,3.7,1.6,may.2016,original,,,,,
2,11,,2.5,2.7,1.5,may.2016,original,,,,,
2,12,192,4,4,1.6,may.2016,replaced,10868970,10868965,10879366,10879382,clipped
2,13,,2.8,2.9,1.9,may.2016,original,,,,,
2,14,,3.4,3,1.9,may.2016,original,,,,,
2,15,194,2.1,1.7,0.7,may.2016,original,10836750,10836751,10879386,10879385,unclipped
2,16,,1.5,1.6,1.1,may.2016,original,,,,,
2,17,,4.1,5.7,2.1,may.2016,original,,,,,
2,18,,2.6,2.6,1.4,may.2016,original,,,,,
2,19,,1.6,1.5,1.3,may.2016,original,,,,,
2,20,,3.8,4.2,1.6,may.2016,original,,,,,
2,21,,1.6,2.1,1.3,may.2016,original,,,,,
2,22,,3.1,2.7,1.4,may.2016,original,,,,,
2,23,,4.3,3.1,1.8,may.2016,original,,,,,
2,24,,3.1,3.5,1.7,may.2016,original,,,,,
2,25,,3.4,4.3,2.1,may.2016,original,,,,,
2,26,190,3.6,3.3,1.6,may.2016,replaced,10837752,10868961,10879379,10879390,unclipped
2,27,,3.5,3.9,2,may.2016,original,,,,,
2,28,,3.8,4.1,2,may.2016,original,,,,,
2,29,188,3.5,3,1.6,may.2016,replaced,10868971,10868967,10879368,10879370,clipped
2,30,,2.5,2.5,1.2,may.2016,original,,,,,
3,1,,3.1,3.2,1.9,may.2016,original,,,,,
3,2,,3.4,3.7,1.8,may.2016,original,,,,,
3,3,,2.8,2.8,1.6,may.2016,original,,,,,
3,4,,2.2,1.7,1.3,may.2016,original,,,,,
3,5,,2.3,1.8,1.5,may.2016,original,,,,,
3,6,,3.8,2.5,1.7,may.2016,original,,,,,
3,7,,2.3,2.5,1.5,may.2016,original,,,,,
3,8,,2.5,2.2,1.6,may.2016,original,,,,,
3,9,126,2.8,2.9,1.6,may.2016,replaced,10836777,10836776,10880729,10880728,clipped
3,10,,2.3,2.9,1.6,may.2016,original,,,,,
3,11,,3.9,3,1.5,may.2016,original,,,,,
3,12,123,4.3,4.4,1.8,may.2016,original,,,,,unclipped
3,13,120,4.3,3.7,2.2,may.2016,original,,,,,clipped
3,14,117,4.6,4.2,2.1,may.2016,original,,,,,unclipped
3,15,114,3.8,3.1,1.2,may.2016,original,,,,,clipped
3,16,,1.8,1.4,1.2,may.2016,original,,,,,
3,17,,2.4,2.1,1.4,may.2016,original,,,,,
3,18,,4.7,5,1.8,may.2016,original,,,,,
3,19,,1.5,1.6,0.8,may.2016,original,,,,,
3,20,,2.8,3.1,1.6,may.2016,original,,,,,
3,21,,2.7,3.5,1.5,may.2016,original,,,,,
3,22,,2,2.1,1.5,may.2016,original,,,,,
3,23,,1.4,1.5,1.5,may.2016,original,,,,,
3,24,,1.6,1.9,1.6,may.2016,original,,,,,
3,25,,3.5,6.1,2.2,may.2016,original,,,,,
3,26,,4,3.1,2.3,may.2016,original,,,,,
3,27,111,3.6,3.5,1.8,may.2016,original,,,,,unclipped
3,28,,3.1,2.6,1.7,may.2016,original,,,,,
3,29,,1.2,1.3,1.3,may.2016,original,,,,,
3,30,,2.5,2.4,1.7,may.2016,original,,,,,
4,1,,14,1,0.9,may.2016,original,,,,,
4,2,,3.3,3.4,1.7,may.2016,original,,,,,
4,3,,1.4,2.1,0.9,may.2016,original,,,,,
4,4,198,2.2,2,1.4,may.2016,replaced,10868958,10868959,10879388,10879400,clipped
4,5,,1.1,1,1,may.2016,original,,,,,
4,6,137,2.9,2.1,2,may.2016,replaced,10836758,10836762,10879395,10879383,unclipped
4,7,130,2.6,2.3,1.5,may.2016,replaced,10836778,10836780,10880721,10880725,clipped
4,8,,1.6,2.1,1.6,may.2016,original,,,,,
4,9,,1.9,2.2,1.8,may.2016,original,,,,,
4,10,,1.6,1.4,1.3,may.2016,original,,,,,
4,11,,3.2,1.7,1.8,may.2016,original,,,,,
4,12,,2.7,3.2,1.9,may.2016,original,,,,,
4,13,,2.3,1.7,1.7,may.2016,original,,,,,
4,14,,1.7,1.4,1.3,may.2016,original,,,,,
4,15,,1.8,1.8,1.5,may.2016,original,,,,,
4,16,,3,3.4,1.6,may.2016,original,,,,,
4,17,133,2.9,2.8,1.3,may.2016,replaced,10836773,10836772,10880716,10880718,unclipped
4,18,140 or 141?,2.9,3.2,1.8,may.2016,replaced,10836783,10836782,10880720,10880719,clipped
4,19,,2.3,2.2,1.5,may.2016,original,,,,,
4,20,143,3.5,4.5,2.1,may.2016,replaced,10836785,10836784,10880722,10880723,unclipped
4,21,,0.9,1,1.1,may.2016,original,,,,,
4,22,,0.7,0.6,0.7,may.2016,original,,,,,
4,23,,2.7,1.8,1.5,may.2016,original,,,,,
4,24,,0.9,0.7,1,may.2016,original,,,,,
4,25,,1.3,1.4,1.5,may.2016,original,,,,,
4,26,,2.4,2.1,1.6,may.2016,original,,,,,
4,27,,3.4,3.8,1.8,may.2016,original,,,,,
4,28,,3.2,3.1,1.9,may.2016,original,,,,,
4,29,,3.9,2.9,1.8,may.2016,original,,,,,
4,30,,1.7,1.9,1.3,may.2016,original,,,,,
5,1,,2.7,2.3,1.6,may.2016,original,,,,,
5,2,,2,1.7,0.9,may.2016,original,,,,,
5,3,,1.1,1.7,0.9,may.2016,original,,,,,
5,4,186,0.8,1.5,0.7,may.2016,replaced,10868956,10868957,10879307,10879389,clipped
5,5,,1.7,1.5,0.7,may.2016,original,,,,,
5,6,,2.6,3.3,1.8,may.2016,original,,,,,
5,7,,0.4,0.4,0.6,may.2016,original,,,,,
5,8,,1.2,1.5,1.2,may.2016,original,,,,,
5,9,,2.2,2.3,1.3,may.2016,original,,,,,
5,10,,1.3,1.5,1.3,may.2016,original,,,,,
5,11,,1.8,1.9,1.3,may.2016,original,,,,,
5,12,,1.6,1.4,1,may.2016,original,,,,,
5,13,182,1.9,2,1.4,may.2016,replaced,10868962,10868963,10879375,10880715,clipped
5,14,,1.9,1.1,0.7,may.2016,original,,,,,
5,15,,1.2,1.2,0.9,may.2016,original,,,,,
5,16,,3.7,1.1,0.5,may.2016,original,,,,,
5,17,184,1.7,1.5,0.7,may.2016,replaced,1083674,10836759,10879399,10879363,unclipped
5,18,,0.6,0.7,0.7,may.2016,original,,,,,
5,19,180,1.3,1.5,1.1,may.2016,original,10836747,10868972,10888714,10879398,unclipped
5,20,,1.4,1.5,1.1,may.2016,original,,,,,
5,21,178,2.1,2.2,1.5,may.2016,replaced,10868969,10868966,10879376,10879378,clipped
5,22,176,2.1,3.6,1.5,may.2016,replaced,10868973,10868964,1087937_,10879391,unclipped
5,23,,1.2,1.3,1.1,may.2016,original,,,,,
5,24,,1.9,2,0.8,may.2016,original,,,,,
5,25,,1.9,2.4,1.3,may.2016,original,,,,,
5,26,,2.1,1.5,1.2,may.2016,original,,,,,
5,27,,1.9,1.7,1.3,may.2016,original,,,,,
5,28,,1.9,1.8,1.2,may.2016,original,,,,,
5,29,,1.7,1.3,1.4,may.2016,original,,,,,
5,30,,2.8,3.4,1.9,may.2016,original,,,,,
6,1,,1.8,2,1.3,may.2016,original,,,,,
6,2,174,2,1.8,1.4,may.2016,replaced,10868941,10868940,10880711,10880712,clipped
6,3,,1.7,1.8,1.5,may.2016,original,,,,,
6,4,164,2.2,3.3,1.8,may.2016,replaced,10876763,10836765,10879364,10879381,unclipped
6,5,,1.4,0.9,1.8,may.2016,original,,,,,
6,6,,1.4,1.3,1.4,may.2016,original,,,,,
6,7,,2.2,1.7,1.3,may.2016,original,,,,,
6,8,172,1.7,1.8,1.1,may.2016,replaced,10868955,10836757,10879394,10879366,unclipped
6,9,,1.8,2.2,1.4,may.2016,original,,,,,
6,10,,2,1.9,1.4,may.2016,original,,,,,
6,11,,1.8,1.6,1.5,may.2016,original,,,,,
6,12,,2.2,2.2,1.5,may.2016,original,,,,,
6,13,,1.5,1.6,1.3,may.2016,original,,,,,
6,14,,1.4,1.5,1.3,may.2016,original,,,,,
6,15,,1.9,1.7,1.1,may.2016,original,,,,,
6,16,,1.3,1.9,1.3,may.2016,original,,,,,
6,17,,1.6,1.6,1.1,may.2016,original,,,,,
6,18,,1.1,1.2,0.9,may.2016,original,,,,,
6,19,168,2.3,2.4,1.4,may.2016,replaced,10868951,10868950,10868951,10880707,unclipped
6,20,,1.8,2,1.6,may.2016,original,,,,,
6,21,,2,2.1,1.7,may.2016,original,,,,,
6,22,166,1.8,2,1.2,may.2016,replaced,10868942,10868943,10880709,10868943,clipped
6,23,,1.3,1,1.1,may.2016,original,,,,,
6,24,,1.5,1.3,1.1,may.2016,original,,,,,
6,25,,1.9,2.1,1.3,may.2016,original,,,,,
6,26,,1.6,1.8,1.3,may.2016,original,,,,,
6,27,,1.7,2.2,1.3,may.2016,original,,,,,
6,28,,2.1,2.6,1.4,may.2016,original,,,,,
6,29,170,2.1,3.2,1.6,may.2016,replaced,10868953,10868952,10880710,10880708,clipped
6,30,,1.9,1.7,1.2,may.2016,original,,,,,
1,1,146,4.7,5,1.8,feb.2017,original,,,,,
1,2,149,3.6,5,2.1,feb.2017,replaced,10981824,10981826,11001912,11000469,clipped
1,3,,6.7,5.6,2,feb.2017,original,,,,,unclipped
1,4,,4.9,5.5,2,feb.2017,original,,,,,
1,5,,3.8,4,2,feb.2017,original,,,,,
1,6,,3.6,4.3,1.4,feb.2017,original,,,,,
1,7,,4,4.2,1.4,feb.2017,original,,,,,
1,8,158,6.6,5.5,1.8,feb.2017,original,,,,,
1,9,,4.6,4.9,1.4,feb.2017,original,,,,,clipped
1,10,161,2.2,2.3,1.2,feb.2017,replaced,10981826,10868937,10880700,11001917,
1,11,,4.6,4.4,1.6,feb.2017,original,,,,,unclipped
1,12,,5.1,4.4,1.5,feb.2017,original,,,,,
1,13,,6.2,7.5,1.6,feb.2017,original,,,,,
1,14,,6.9,3.6,1.1,feb.2017,original,,,,,
1,15,,4.7,3.9,1.4,feb.2017,original,,,,,
1,16,,4.4,3.1,1.7,feb.2017,original,,,,,
1,17,,3.4,3.6,1.7,feb.2017,original,,,,,
1,18,,3.9,3.8,1.3,feb.2017,original,,,,,
1,19,,5.5,4.4,1.8,feb.2017,original,,,,,
1,20,,4.1,3,1.1,feb.2017,original,,,,,
1,21,,3,3,1.6,feb.2017,original,,,,,
1,22,,2.9,2.4,1.2,feb.2017,original,,,,,
1,23,,2.1,2.5,1,feb.2017,original,,,,,
1,24,,3.3,2.8,1.8,feb.2017,original,,,,,
