Plot Title: 10859601					
#	"Date Time, GMT-07:00"	"Temp, °C (LGR S/N: 10859601, SEN S/N: 10868962)"	"Temp, °C (LGR S/N: 10859601, SEN S/N: 10868963)"	"Water Content, m³/m³ (LGR S/N: 10859601, SEN S/N: 10879375)"	"Water Content, m³/m³ (LGR S/N: 10859601, SEN S/N: 10880715)"
1	5/18/2016 14:00	22.537	22.753	-0.0369	-0.1755
2	5/18/2016 15:00	22.705	22.92	-0.0297	-0.1743
3	5/18/2016 16:00	22.824	23.04	-0.0297	-0.1743
4	5/18/2016 17:00	22.848	23.016	-0.0284	-0.1743
5	5/18/2016 18:00	22.8	22.872	-0.0297	-0.1743
6	5/18/2016 19:00	22.753	22.753	-0.0297	-0.1743
7	5/18/2016 20:00	22.657	22.465	-0.0297	-0.1743
8	5/18/2016 21:00	22.537	22.178	-0.0297	-0.1743
9	5/18/2016 22:00	22.369	21.867	-0.0297	-0.1743
10	5/18/2016 23:00	22.25	21.628	-0.0297	-0.1743
11	5/19/2016 0:00	22.106	21.342	-0.0297	-0.1743
12	5/19/2016 1:00	21.939	21.079	-0.0297	-0.1743
13	5/19/2016 2:00	21.819	20.936	-0.0297	-0.1743
14	5/19/2016 3:00	21.724	20.865	-0.0297	-0.1743
15	5/19/2016 4:00	21.676	20.96	-0.0297	-0.1743
16	5/19/2016 5:00	21.676	21.103	-0.0297	-0.1743
17	5/19/2016 6:00	21.724	21.223	-0.0297	-0.1743
18	5/19/2016 7:00	21.724	21.27	-0.0297	-0.1743
19	5/19/2016 8:00	21.724	21.342	-0.0297	-0.1743
20	5/19/2016 9:00	21.748	21.366	-0.0297	-0.1743
21	5/19/2016 10:00	21.748	21.437	-0.0297	-0.1743
22	5/19/2016 11:00	21.772	21.461	-0.0297	-0.1743
23	5/19/2016 12:00	21.795	21.509	-0.0297	-0.1743
24	5/19/2016 13:00	21.843	21.7	-0.0284	-0.1743
25	5/19/2016 14:00	21.891	21.819	-0.0297	-0.1743
26	5/19/2016 15:00	21.963	21.891	-0.0284	-0.1743
27	5/19/2016 16:00	22.011	21.987	-0.0284	-0.1743
28	5/19/2016 17:00	22.082	22.058	-0.0284	-0.1731
29	5/19/2016 18:00	22.106	22.106	-0.0284	-0.1731
30	5/19/2016 19:00	22.13	21.987	-0.0284	-0.1743
31	5/19/2016 20:00	22.058	21.772	-0.0284	-0.1743
32	5/19/2016 21:00	21.987	21.581	-0.0297	-0.1743
33	5/19/2016 22:00	21.915	21.533	-0.0297	-0.1743
34	5/19/2016 23:00	21.891	21.628	-0.0284	-0.1743
35	5/20/2016 0:00	21.891	21.676	-0.0297	-0.1743
36	5/20/2016 1:00	21.891	21.748	-0.0297	-0.1743
37	5/20/2016 2:00	21.891	21.772	-0.0284	-0.1743
38	5/20/2016 3:00	21.867	21.772	-0.0284	-0.1743
39	5/20/2016 4:00	21.843	21.748	-0.0284	-0.1743
40	5/20/2016 5:00	21.795	21.7	-0.0284	-0.1743
41	5/20/2016 6:00	21.772	21.676	-0.0297	-0.1743
42	5/20/2016 7:00	21.748	21.652	-0.0297	-0.1743
43	5/20/2016 8:00	21.748	21.676	-0.0284	-0.1743
44	5/20/2016 9:00	21.748	21.724	-0.0297	-0.1743
45	5/20/2016 10:00	21.819	21.819	-0.0284	-0.1743
46	5/20/2016 11:00	21.891	21.963	-0.0284	-0.1743
