"Plot Title: 10859598"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859598, SEN S/N: 10836747)","Water Content, m³/m³ (LGR S/N: 10859598, SEN S/N: 10879375)","Temp, °F (LGR S/N: 10859598, SEN S/N: 10981832)","Water Content, m³/m³ (LGR S/N: 10859598, SEN S/N: 11001915)"
1,04/11/17 07:00:01 PM,66.173,0.0869,65.273,0.1508
2,04/11/17 08:00:01 PM,58.971,0.0841,56.815,0.1479
3,04/11/17 09:00:01 PM,55.949,0.0822,52.423,0.1455
4,04/11/17 10:00:01 PM,52.772,0.0810,46.661,0.1430
5,04/11/17 11:00:01 PM,51.984,0.0794,44.582,0.1405
6,04/12/17 12:00:01 AM,50.445,0.0794,43.716,0.1391
7,04/12/17 01:00:01 AM,50.400,0.0787,44.082,0.1370
8,04/12/17 02:00:01 AM,48.094,0.0775,41.693,0.1361
9,04/12/17 03:00:01 AM,47.244,0.0768,39.970,0.1352
10,04/12/17 04:00:01 AM,47.512,0.0768,40.626,0.1342
11,04/12/17 05:00:01 AM,45.172,0.0762,38.464,0.1331
12,04/12/17 06:00:01 AM,43.671,0.0758,37.560,0.1321
13,04/12/17 07:00:01 AM,45.172,0.0752,39.454,0.1312
14,04/12/17 08:00:01 AM,49.116,0.0758,52.203,0.1285
15,04/12/17 09:00:01 AM,54.516,0.0768,76.158,0.1266
16,04/12/17 10:00:01 AM,60.861,0.0781,86.754,0.1307
17,04/12/17 11:00:01 AM,66.686,0.0797,92.197,0.1357
18,04/12/17 12:00:01 PM,72.264,0.0816,95.374,0.1405
19,04/12/17 01:00:01 PM,77.247,0.0841,99.563,0.1459
20,04/12/17 02:00:01 PM,79.261,0.0869,107.922,0.1495
21,04/12/17 03:00:01 PM,86.074,0.0896,103.948,0.1519
22,04/12/17 04:00:01 PM,95.230,0.0926,103.845,0.1519
23,04/12/17 05:00:01 PM,110.673,0.0961,97.990,0.1514
24,04/12/17 06:00:01 PM,93.848,0.0926,79.128,0.1523
25,04/12/17 07:00:01 PM,77.509,0.0875,66.472,0.1508
26,04/12/17 08:00:01 PM,62.406,0.0835,58.541,0.1479
27,04/12/17 09:00:01 PM,59.616,0.0810,55.429,0.1441
28,04/12/17 10:00:01 PM,57.506,0.0797,52.554,0.1416
29,04/12/17 11:00:01 PM,55.733,0.0787,50.488,0.1391
30,04/13/17 12:00:01 AM,54.343,0.0775,48.895,0.1370
31,04/13/17 01:00:01 AM,53.515,0.0768,49.204,0.1357
32,04/13/17 02:00:01 AM,53.298,0.0762,48.583,0.1342
33,04/13/17 03:00:01 AM,49.870,0.0758,42.341,0.1335
34,04/13/17 04:00:01 AM,50.356,0.0745,43.259,0.1321
35,04/13/17 05:00:01 AM,50.135,0.0745,42.708,0.1312
36,04/13/17 06:00:01 AM,49.870,0.0745,43.579,0.1297
37,04/13/17 07:00:01 AM,51.193,0.0745,46.616,0.1290
38,04/13/17 08:00:01 AM,53.908,0.0752,49.782,0.1285
39,04/13/17 09:00:01 AM,61.119,0.0768,68.142,0.1271
40,04/13/17 10:00:01 AM,58.541,0.0775,67.500,0.1307
41,04/13/17 11:00:01 AM,52.466,0.0781,60.217,0.1357
42,04/13/17 12:00:01 PM,60.775,0.0787,90.936,0.1357
43,04/13/17 01:00:01 PM,63.819,0.0787,84.587,0.1416
44,04/13/17 02:00:01 PM,66.729,0.0810,85.712,0.1441
45,04/13/17 03:00:01 PM,72.351,0.0829,87.620,0.1450
46,04/13/17 04:00:01 PM,80.361,0.0844,95.711,0.1450
47,04/13/17 05:00:01 PM,81.376,0.0857,85.577,0.1455
48,04/13/17 06:00:01 PM,71.533,0.0835,74.381,0.1459
49,04/13/17 07:00:01 PM,63.090,0.0794,58.755,0.1450
50,04/13/17 08:00:01 PM,53.515,0.0762,49.959,0.1430
51,04/13/17 09:00:01 PM,51.282,0.0745,47.019,0.1396
52,04/13/17 10:00:01 PM,48.983,0.0732,43.945,0.1370
53,04/13/17 11:00:01 PM,47.871,0.0722,38.748,0.1347
54,04/14/17 12:00:01 AM,48.405,0.0725,44.492,0.1326
55,04/14/17 01:00:01 AM,49.204,0.0722,46.841,0.1317
56,04/14/17 02:00:01 AM,48.895,0.0722,46.256,0.1307
57,04/14/17 03:00:01 AM,50.929,0.0722,45.489,0.1302
58,04/14/17 04:00:01 AM,49.604,0.0722,45.444,0.1297
59,04/14/17 05:00:01 AM,47.334,0.0708,39.877,0.1297
60,04/14/17 06:00:01 AM,46.211,0.0702,38.700,0.1285
61,04/14/17 07:00:01 AM,46.301,0.0695,40.251,0.1271
62,04/14/17 08:00:01 AM,49.692,0.0708,55.647,0.1242
63,04/14/17 09:00:01 AM,53.427,0.0715,63.347,0.1237
64,04/14/17 10:00:01 AM,56.599,0.0725,69.427,0.1261
65,04/14/17 11:00:01 AM,61.891,0.0738,71.404,0.1302
66,04/14/17 12:00:01 PM,70.587,0.0762,76.419,0.1347
67,04/14/17 01:00:01 PM,72.610,0.0787,80.139,0.1400
68,04/14/17 02:00:01 PM,74.511,0.0829,85.487,0.1430
69,04/14/17 03:00:01 PM,83.467,0.0887,87.483,0.1450
70,04/14/17 04:00:01 PM,91.917,0.0914,87.255,0.1455
71,04/14/17 05:00:01 PM,103.334,0.0920,80.935,0.1446
72,04/14/17 06:00:01 PM,93.564,0.0902,72.955,0.1441
73,04/14/17 07:00:01 PM,78.690,0.0844,59.873,0.1430
74,04/14/17 08:00:01 PM,60.132,0.0781,51.062,0.1412
75,04/14/17 09:00:01 PM,55.690,0.0758,46.076,0.1382
76,04/14/17 10:00:01 PM,53.559,0.0738,45.172,0.1352
77,04/14/17 11:00:01 PM,51.764,0.0725,44.127,0.1326
78,04/15/17 12:00:01 AM,50.621,0.0715,43.488,0.1307
79,04/15/17 01:00:01 AM,49.161,0.0708,42.109,0.1290
80,04/15/17 02:00:01 AM,47.826,0.0702,40.438,0.1276
81,04/15/17 03:00:01 AM,46.931,0.0695,39.078,0.1266
82,04/15/17 04:00:01 AM,45.896,0.0684,37.798,0.1256
83,04/15/17 05:00:01 AM,45.444,0.0684,37.893,0.1246
