"Plot Title: 10859604"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859604, SEN S/N: 10868939)","Water Content, m³/m³ (LGR S/N: 10859604, SEN S/N: 10879387)","Water Content, m³/m³ (LGR S/N: 10859604, SEN S/N: 10880700)","Temp, °F (LGR S/N: 10859604, SEN S/N: -1)"
1,04/11/17 04:00:01 PM,112.273,0.0341,0.0653,105.031
2,04/11/17 05:00:01 PM,109.965,0.0328,0.0646,100.657
3,04/11/17 06:00:01 PM,87.210,0.0288,0.0581,86.482
4,04/11/17 07:00:01 PM,63.775,0.0238,0.0536,67.798
5,04/11/17 08:00:01 PM,53.341,0.0190,0.0501,58.755
6,04/11/17 09:00:01 PM,48.315,0.0161,0.0474,52.772
7,04/11/17 10:00:01 PM,46.031,0.0147,0.0462,50.180
8,04/11/17 11:00:01 PM,42.570,0.0122,0.0446,44.492
9,04/12/17 12:00:01 AM,42.570,0.0112,0.0442,44.719
10,04/12/17 01:00:01 AM,41.137,0.0107,0.0434,43.075
11,04/12/17 02:00:01 AM,40.532,0.0097,0.0425,42.341
12,04/12/17 03:00:01 AM,40.064,0.0087,0.0425,41.740
13,04/12/17 04:00:01 AM,41.463,0.0087,0.0434,43.075
14,04/12/17 05:00:01 AM,41.369,0.0087,0.0434,42.984
15,04/12/17 06:00:01 AM,39.407,0.0081,0.0421,40.811
16,04/12/17 07:00:01 AM,40.626,0.0081,0.0421,42.017
17,04/12/17 08:00:01 AM,60.561,0.0166,0.0470,56.858
18,04/12/17 09:00:01 AM,87.163,0.0252,0.0544,71.490
19,04/12/17 10:00:01 AM,105.552,0.0310,0.0614,87.073
20,04/12/17 11:00:01 AM,113.221,0.0341,0.0671,101.862
21,04/12/17 12:00:01 PM,126.160,0.0363,0.0708,114.634
22,04/12/17 01:00:01 PM,134.056,0.0392,0.0738,121.552
23,04/12/17 02:00:01 PM,141.179,0.0421,0.0758,123.291
24,04/12/17 03:00:01 PM,138.628,0.0421,0.0745,124.047
25,04/12/17 04:00:01 PM,125.643,0.0401,0.0678,108.991
26,04/12/17 05:00:01 PM,104.050,0.0350,0.0628,93.328
27,04/12/17 06:00:01 PM,83.287,0.0328,0.0588,85.352
28,04/12/17 07:00:01 PM,65.530,0.0274,0.0547,69.213
29,04/12/17 08:00:01 PM,55.299,0.0224,0.0509,59.529
30,04/12/17 09:00:01 PM,49.782,0.0186,0.0490,53.427
31,04/12/17 10:00:01 PM,44.901,0.0152,0.0462,47.602
32,04/12/17 11:00:01 PM,41.090,0.0127,0.0442,44.037
33,04/13/17 12:00:01 AM,40.626,0.0127,0.0434,45.806
34,04/13/17 01:00:01 AM,38.415,0.0097,0.0421,41.925
35,04/13/17 02:00:01 AM,41.925,0.0107,0.0425,45.354
36,04/13/17 03:00:01 AM,47.289,0.0127,0.0442,50.664
37,04/13/17 04:00:01 AM,46.706,0.0127,0.0442,50.180
38,04/13/17 05:00:01 AM,39.313,0.0097,0.0421,42.525
39,04/13/17 06:00:01 AM,39.124,0.0087,0.0413,42.433
40,04/13/17 07:00:01 AM,44.173,0.0107,0.0421,47.154
41,04/13/17 08:00:01 AM,56.685,0.0166,0.0454,57.463
42,04/13/17 09:00:01 AM,63.732,0.0200,0.0482,65.574
43,04/13/17 10:00:01 AM,63.475,0.0205,0.0490,67.158
44,04/13/17 11:00:01 AM,79.831,0.0270,0.0547,82.798
45,04/13/17 12:00:01 PM,94.705,0.0274,0.0581,82.263
46,04/13/17 01:00:01 PM,105.447,0.0297,0.0599,92.386
47,04/13/17 02:00:01 PM,114.921,0.0306,0.0632,91.542
48,04/13/17 03:00:01 PM,123.165,0.0319,0.0632,98.184
49,04/13/17 04:00:01 PM,114.863,0.0310,0.0599,97.990
50,04/13/17 05:00:01 PM,102.317,0.0297,0.0588,89.638
51,04/13/17 06:00:01 PM,77.990,0.0261,0.0521,75.681
52,04/13/17 07:00:01 PM,56.383,0.0200,0.0490,59.702
53,04/13/17 08:00:01 PM,46.751,0.0152,0.0454,52.246
54,04/13/17 09:00:01 PM,43.488,0.0127,0.0442,48.672
55,04/13/17 10:00:01 PM,42.109,0.0122,0.0425,47.064
56,04/13/17 11:00:01 PM,47.019,0.0127,0.0442,50.664
57,04/14/17 12:00:01 AM,45.579,0.0122,0.0434,49.073
58,04/14/17 01:00:01 AM,45.444,0.0122,0.0425,49.161
59,04/14/17 02:00:01 AM,45.986,0.0122,0.0434,49.471
60,04/14/17 03:00:01 AM,45.172,0.0112,0.0425,48.493
61,04/14/17 04:00:01 AM,44.400,0.0112,0.0425,47.691
62,04/14/17 05:00:01 AM,43.579,0.0107,0.0421,46.751
63,04/14/17 06:00:01 AM,43.167,0.0107,0.0413,46.391
64,04/14/17 07:00:01 AM,43.945,0.0107,0.0421,47.019
65,04/14/17 08:00:01 AM,49.737,0.0127,0.0434,52.509
66,04/14/17 09:00:01 AM,60.303,0.0152,0.0462,59.315
67,04/14/17 10:00:01 AM,70.072,0.0186,0.0494,68.443
68,04/14/17 11:00:01 AM,79.876,0.0228,0.0536,76.899
69,04/14/17 12:00:01 PM,107.443,0.0283,0.0639,99.167
70,04/14/17 01:00:01 PM,116.650,0.0310,0.0678,108.349
71,04/14/17 02:00:01 PM,113.785,0.0319,0.0691,107.443
72,04/14/17 03:00:01 PM,116.128,0.0328,0.0678,107.073
73,04/14/17 04:00:01 PM,107.814,0.0310,0.0621,102.672
74,04/14/17 05:00:01 PM,94.658,0.0288,0.0599,92.151
75,04/14/17 06:00:01 PM,73.429,0.0261,0.0528,78.865
76,04/14/17 07:00:01 PM,53.951,0.0214,0.0482,61.075
77,04/14/17 08:00:01 PM,41.970,0.0147,0.0442,48.049
78,04/14/17 09:00:01 PM,37.179,0.0127,0.0421,42.892
79,04/14/17 10:00:01 PM,36.651,0.0107,0.0405,40.811
80,04/14/17 11:00:01 PM,34.223,0.0087,0.0392,38.464
81,04/15/17 12:00:01 AM,34.124,0.0081,0.0384,37.416
82,04/15/17 01:00:01 AM,30.936,0.0066,0.0371,34.664
83,04/15/17 02:00:01 AM,31.339,0.0066,0.0371,34.664
84,04/15/17 03:00:01 AM,30.987,0.0056,0.0363,34.075
85,04/15/17 04:00:01 AM,31.289,0.0056,0.0363,34.223
86,04/15/17 05:00:01 AM,31.491,0.0056,0.0354,33.978
87,04/15/17 06:00:01 AM,30.276,0.0050,0.0350,32.742
88,04/15/17 07:00:01 AM,31.692,0.0050,0.0350,33.879
89,04/15/17 08:00:01 AM,52.029,0.0127,0.0401,46.391
90,04/15/17 09:00:01 AM,76.028,0.0224,0.0490,62.490
91,04/15/17 10:00:01 AM,101.862,0.0297,0.0581,82.486
92,04/15/17 11:00:01 AM,116.766,0.0332,0.0632,98.676
93,04/15/17 12:00:01 PM,129.200,0.0354,0.0678,110.782
94,04/15/17 01:00:01 PM,138.324,0.0384,0.0702,115.551
95,04/15/17 02:00:01 PM,141.415,0.0401,0.0722,116.942
96,04/15/17 03:00:01 PM,135.648,0.0405,0.0708,118.058
97,04/15/17 04:00:01 PM,128.730,0.0413,0.0660,116.942
98,04/15/17 05:00:01 PM,103.590,0.0375,0.0621,100.308
99,04/15/17 06:00:01 PM,84.542,0.0341,0.0562,84.452
100,04/15/17 07:00:01 PM,65.403,0.0283,0.0521,69.256
101,04/15/17 08:00:01 PM,53.166,0.0224,0.0474,56.642
102,04/15/17 09:00:01 PM,50.664,0.0228,0.0454,54.387
103,04/15/17 10:00:01 PM,46.841,0.0205,0.0442,50.576
104,04/15/17 11:00:01 PM,46.031,0.0190,0.0425,49.471
105,04/16/17 12:00:01 AM,44.856,0.0186,0.0413,48.137
106,04/16/17 01:00:01 AM,45.761,0.0186,0.0421,48.360
107,04/16/17 02:00:01 AM,42.109,0.0166,0.0413,45.307
108,04/16/17 03:00:01 AM,43.534,0.0166,0.0405,46.121
109,04/16/17 04:00:01 AM,45.127,0.0166,0.0405,46.974
110,04/16/17 05:00:01 AM,45.579,0.0166,0.0405,47.289
111,04/16/17 06:00:01 AM,44.856,0.0166,0.0405,46.751
112,04/16/17 07:00:01 AM,47.557,0.0176,0.0405,49.028
113,04/16/17 08:00:01 AM,64.161,0.0228,0.0446,59.702
114,04/16/17 09:00:01 AM,84.632,0.0319,0.0528,75.594
115,04/16/17 10:00:01 AM,107.020,0.0375,0.0621,93.564
116,04/16/17 11:00:01 AM,126.289,0.0421,0.0684,115.954
117,04/16/17 12:00:01 PM,142.929,0.0442,0.0715,125.256
118,04/16/17 01:00:01 PM,146.140,0.0454,0.0722,124.299
119,04/16/17 02:00:01 PM,145.386,0.0462,0.0745,129.808
120,04/16/17 03:00:01 PM,121.674,0.0446,0.0691,115.608
121,04/16/17 04:00:01 PM,104.463,0.0405,0.0628,97.696
122,04/16/17 05:00:01 PM,87.210,0.0371,0.0588,86.754
123,04/16/17 06:00:01 PM,78.777,0.0341,0.0547,79.480
124,04/16/17 07:00:01 PM,68.913,0.0297,0.0517,71.274
125,04/16/17 08:00:01 PM,62.533,0.0274,0.0490,65.273
126,04/16/17 09:00:01 PM,57.117,0.0261,0.0470,60.474
127,04/16/17 10:00:01 PM,53.690,0.0238,0.0446,57.979
128,04/16/17 11:00:01 PM,50.621,0.0224,0.0434,54.604
129,04/17/17 12:00:01 AM,47.826,0.0200,0.0413,51.282
130,04/17/17 01:00:01 AM,49.959,0.0205,0.0413,53.602
131,04/17/17 02:00:01 AM,51.764,0.0214,0.0425,55.038
132,04/17/17 03:00:01 AM,53.820,0.0224,0.0425,56.772
133,04/17/17 04:00:01 AM,52.378,0.0214,0.0421,55.299
134,04/17/17 05:00:01 AM,52.466,0.0228,0.0413,55.386
135,04/17/17 06:00:01 AM,50.356,0.0205,0.0413,52.686
136,04/17/17 07:00:01 AM,53.078,0.0214,0.0413,55.558
