"Plot Title: 10859610"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859610, SEN S/N: 10868969)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879376)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879378)"
1,04/11/17 10:00:01 AM,59.916,0.2153,0.1836
2,04/11/17 11:00:01 AM,74.554,0.2148,0.1830
3,04/11/17 12:00:01 PM,86.527,0.2161,0.1830
4,04/11/17 01:00:01 PM,101.057,0.2190,0.1830
5,04/11/17 02:00:01 PM,102.976,0.2245,0.1843
6,04/11/17 03:00:01 PM,106.336,0.2274,0.1843
7,04/11/17 04:00:01 PM,95.135,0.2318,0.1862
8,04/11/17 05:00:01 PM,89.040,0.2335,0.1881
9,04/11/17 06:00:01 PM,80.227,0.2335,0.1881
10,04/11/17 07:00:01 PM,66.985,0.2327,0.1885
11,04/11/17 08:00:01 PM,56.815,0.1490,0.1885
12,04/11/17 09:00:01 PM,53.078,0.1246,0.1872
13,04/11/17 10:00:01 PM,45.489,0.2257,0.1866
14,04/11/17 11:00:01 PM,42.755,0.2232,0.1859
15,04/12/17 12:00:01 AM,42.984,0.2211,0.1849
16,04/12/17 01:00:01 AM,42.939,0.2190,0.1843
17,04/12/17 02:00:01 AM,40.764,-0.4737,0.1826
18,04/12/17 03:00:01 AM,39.124,0.0205,0.1836
19,04/12/17 04:00:01 AM,40.064,-0.1719,0.1830
20,04/12/17 05:00:01 AM,37.130,-0.2779,0.1826
21,04/12/17 06:00:01 AM,36.891,0.2134,0.1826
22,04/12/17 07:00:01 AM,38.842,0.2122,0.1820
23,04/12/17 08:00:01 AM,44.719,0.2112,0.1816
24,04/12/17 09:00:01 AM,58.755,0.2083,0.1807
25,04/12/17 10:00:01 AM,79.216,0.2064,0.1793
26,04/12/17 11:00:01 AM,83.287,0.2100,0.1797
27,04/12/17 12:00:01 PM,89.593,0.2139,0.1807
28,04/12/17 01:00:01 PM,100.458,0.2182,0.1816
29,04/12/17 02:00:01 PM,95.423,0.2232,0.1836
30,04/12/17 03:00:01 PM,95.904,-0.4737,0.1843
31,04/12/17 04:00:01 PM,98.429,-0.4737,0.1843
32,04/12/17 05:00:01 PM,96.724,-0.4737,0.1843
33,04/12/17 06:00:01 PM,81.687,0.2315,0.1862
34,04/12/17 07:00:01 PM,69.771,0.2303,0.1862
35,04/12/17 08:00:01 PM,59.486,0.2282,0.1862
36,04/12/17 09:00:01 PM,55.342,0.2249,0.1849
37,04/12/17 10:00:01 PM,52.597,-0.4737,0.1843
38,04/12/17 11:00:01 PM,50.400,-0.4737,0.1836
39,04/13/17 12:00:01 AM,48.805,-0.4737,0.1830
40,04/13/17 01:00:01 AM,49.161,-0.4737,0.1820
41,04/13/17 02:00:01 AM,49.383,-0.4737,0.1816
42,04/13/17 03:00:01 AM,43.808,0.2143,0.1816
43,04/13/17 04:00:01 AM,43.122,0.2131,0.1813
44,04/13/17 05:00:01 AM,42.386,-0.4737,0.1807
45,04/13/17 06:00:01 AM,43.808,-0.4737,0.1803
46,04/13/17 07:00:01 AM,46.571,-0.4737,0.1797
47,04/13/17 08:00:01 AM,50.621,-0.4737,0.1793
48,04/13/17 09:00:01 AM,63.475,-0.4737,0.1793
49,04/13/17 10:00:01 AM,62.875,-0.4737,0.1797
50,04/13/17 11:00:01 AM,56.685,-0.4737,0.1816
51,04/13/17 12:00:01 PM,77.464,-0.4737,0.1797
52,04/13/17 01:00:01 PM,79.435,-0.4737,0.1807
53,04/13/17 02:00:01 PM,81.376,-0.4737,0.1816
54,04/13/17 03:00:01 PM,78.076,-0.4737,0.1816
55,04/13/17 04:00:01 PM,88.534,-0.4737,0.1816
56,04/13/17 05:00:01 PM,82.753,-0.4737,0.1826
57,04/13/17 06:00:01 PM,73.126,-0.4737,0.1830
58,04/13/17 07:00:01 PM,61.248,-0.4737,0.1836
59,04/13/17 08:00:01 PM,50.400,-0.4737,0.1836
60,04/13/17 09:00:01 PM,46.974,-0.4737,0.1826
61,04/13/17 10:00:01 PM,44.400,-0.4737,0.1816
62,04/13/17 11:00:01 PM,37.798,-0.4737,0.1813
63,04/14/17 12:00:01 AM,44.400,0.2122,0.1803
64,04/14/17 01:00:01 AM,46.751,0.2112,0.1793
65,04/14/17 02:00:01 AM,46.301,0.2104,0.1793
66,04/14/17 03:00:01 AM,45.761,0.2100,0.1789
67,04/14/17 04:00:01 AM,45.761,-0.4737,0.1789
68,04/14/17 05:00:01 AM,38.984,-0.4737,0.1783
69,04/14/17 06:00:01 AM,36.313,-0.4737,0.1779
70,04/14/17 07:00:01 AM,38.842,-0.4668,0.1779
71,04/14/17 08:00:01 AM,46.211,-0.4737,0.1769
72,04/14/17 09:00:01 AM,56.728,-0.4737,0.1765
73,04/14/17 10:00:01 AM,70.416,-0.4737,0.1756
74,04/14/17 11:00:01 AM,78.033,-0.3858,0.1752
75,04/14/17 12:00:01 PM,83.109,-0.3740,0.1762
76,04/14/17 01:00:01 PM,87.391,0.2122,0.1775
77,04/14/17 02:00:01 PM,98.577,0.2164,0.1775
78,04/14/17 03:00:01 PM,97.306,0.2203,0.1789
79,04/14/17 04:00:01 PM,96.530,0.2232,0.1803
80,04/14/17 05:00:01 PM,91.216,0.2249,0.1807
81,04/14/17 06:00:01 PM,83.959,0.2249,0.1813
82,04/14/17 07:00:01 PM,67.928,0.2249,0.1816
83,04/14/17 08:00:01 PM,50.268,0.2237,0.1820
84,04/14/17 09:00:01 PM,45.534,0.2195,0.1807
85,04/14/17 10:00:01 PM,44.582,0.2164,0.1803
86,04/14/17 11:00:01 PM,43.214,-0.4737,0.1783
87,04/15/17 12:00:01 AM,42.708,-0.4737,0.1775
88,04/15/17 01:00:01 AM,40.998,-0.4737,0.1769
89,04/15/17 02:00:01 AM,39.124,0.2078,0.1765
90,04/15/17 03:00:01 AM,37.751,0.2064,0.1762
91,04/15/17 04:00:01 AM,36.072,0.2052,0.1756
92,04/15/17 05:00:01 AM,36.169,0.1908,0.1752
93,04/15/17 06:00:01 AM,35.200,-0.4737,0.1746
94,04/15/17 07:00:01 AM,35.733,-0.4737,0.1746
95,04/15/17 08:00:01 AM,42.017,-0.4737,0.1738
96,04/15/17 09:00:01 AM,57.636,-0.4737,0.1732
97,04/15/17 10:00:01 AM,78.121,-0.4737,0.1724
98,04/15/17 11:00:01 AM,89.593,-0.4737,0.1714
99,04/15/17 12:00:01 PM,97.209,0.2029,0.1728
100,04/15/17 01:00:01 PM,102.114,0.1963,0.1738
101,04/15/17 02:00:01 PM,109.585,0.2100,0.1752
102,04/15/17 03:00:01 PM,113.616,0.2156,0.1762
103,04/15/17 04:00:01 PM,104.360,0.2203,0.1779
104,04/15/17 05:00:01 PM,96.337,0.2216,0.1793
105,04/15/17 06:00:01 PM,86.709,0.2195,0.1789
106,04/15/17 07:00:01 PM,73.904,0.2153,0.1793
107,04/15/17 08:00:01 PM,60.174,0.2100,0.1789
108,04/15/17 09:00:01 PM,50.886,0.1891,0.1779
109,04/15/17 10:00:01 PM,50.709,0.2131,0.1769
110,04/15/17 11:00:01 PM,48.983,0.2104,0.1756
111,04/16/17 12:00:01 AM,49.249,0.2083,0.1756
112,04/16/17 01:00:01 AM,46.796,0.2070,0.1746
113,04/16/17 02:00:01 AM,42.017,0.2056,0.1742
114,04/16/17 03:00:01 AM,43.808,0.2038,0.1738
115,04/16/17 04:00:01 AM,43.671,0.2029,0.1732
116,04/16/17 05:00:01 AM,41.369,0.2020,0.1728
117,04/16/17 06:00:01 AM,41.043,-0.4737,0.1724
