"Plot Title: 10859617"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859617, SEN S/N: 10868952)","Temp, °F (LGR S/N: 10859617, SEN S/N: 10868953)","Water Content, m³/m³ (LGR S/N: 10859617, SEN S/N: 10880708)","Water Content, m³/m³ (LGR S/N: 10859617, SEN S/N: 10880710)"
1,04/10/17 05:00:01 PM,89.316,83.556,0.1159,0.0161
2,04/10/17 06:00:01 PM,79.128,74.467,0.1138,0.0107
3,04/10/17 07:00:01 PM,65.788,64.974,0.1117,0.0050
4,04/10/17 08:00:01 PM,55.386,56.340,0.1091,-0.0025
5,04/10/17 09:00:01 PM,50.576,51.809,0.1069,-0.0069
6,04/10/17 10:00:01 PM,51.370,52.203,0.1053,-0.0069
7,04/10/17 11:00:01 PM,50.445,51.678,0.1042,-0.0086
8,04/11/17 12:00:01 AM,47.199,48.049,0.1036,-0.0103
9,04/11/17 01:00:01 AM,45.669,46.211,0.1031,-0.0115
10,04/11/17 02:00:01 AM,43.763,44.445,0.1025,-0.0132
11,04/11/17 03:00:01 AM,43.075,43.671,0.1020,-0.0138
12,04/11/17 04:00:01 AM,41.693,42.341,0.1020,-0.0150
13,04/11/17 05:00:01 AM,39.596,40.438,0.1014,-0.0156
14,04/11/17 06:00:01 AM,38.795,39.078,0.1014,-0.0167
15,04/11/17 07:00:01 AM,40.345,39.830,0.1014,-0.0167
16,04/11/17 08:00:01 AM,49.204,47.064,0.1020,-0.0132
17,04/11/17 09:00:01 AM,52.903,49.782,0.1031,-0.0103
18,04/11/17 10:00:01 AM,56.383,55.602,0.1042,-0.0069
19,04/11/17 11:00:01 AM,69.771,65.615,0.1053,-0.0019
20,04/11/17 12:00:01 PM,84.137,85.127,0.1096,0.0066
21,04/11/17 01:00:01 PM,97.306,98.479,0.1122,0.0137
22,04/11/17 02:00:01 PM,92.856,89.224,0.1138,0.0147
23,04/11/17 03:00:01 PM,98.087,98.971,0.1153,0.0186
24,04/11/17 04:00:01 PM,91.308,90.194,0.1148,0.0166
25,04/11/17 05:00:01 PM,83.869,80.668,0.1133,0.0107
26,04/11/17 06:00:01 PM,76.419,75.376,0.1122,0.0056
27,04/11/17 07:00:01 PM,65.872,65.145,0.1101,-0.0003
28,04/11/17 08:00:01 PM,57.117,57.290,0.1080,-0.0063
29,04/11/17 09:00:01 PM,52.860,53.121,0.1058,-0.0086
30,04/11/17 10:00:01 PM,49.338,49.959,0.1047,-0.0115
31,04/11/17 11:00:01 PM,46.974,47.557,0.1036,-0.0132
32,04/12/17 12:00:01 AM,44.537,45.444,0.1025,-0.0156
33,04/12/17 01:00:01 AM,44.674,45.624,0.1020,-0.0156
34,04/12/17 02:00:01 AM,43.351,44.218,0.1020,-0.0167
35,04/12/17 03:00:01 AM,41.322,41.970,0.1009,-0.0173
36,04/12/17 04:00:01 AM,42.478,43.214,0.1009,-0.0173
37,04/12/17 05:00:01 AM,39.124,40.251,0.1003,-0.0203
38,04/12/17 06:00:01 AM,38.748,38.842,0.1003,-0.0203
39,04/12/17 07:00:01 AM,39.313,39.643,0.1003,-0.0203
40,04/12/17 08:00:01 AM,47.109,47.064,0.1009,-0.0167
41,04/12/17 09:00:01 AM,67.028,58.411,0.1020,-0.0115
42,04/12/17 10:00:01 AM,75.985,65.701,0.1047,-0.0063
43,04/12/17 11:00:01 AM,80.449,69.643,0.1075,-0.0036
44,04/12/17 12:00:01 PM,86.527,80.227,0.1101,0.0024
45,04/12/17 01:00:01 PM,88.075,87.163,0.1122,0.0081
46,04/12/17 02:00:01 PM,89.593,90.009,0.1133,0.0107
47,04/12/17 03:00:01 PM,88.396,89.870,0.1133,0.0112
48,04/12/17 04:00:01 PM,93.423,94.563,0.1143,0.0137
49,04/12/17 05:00:01 PM,90.239,91.170,0.1143,0.0137
50,04/12/17 06:00:01 PM,79.612,77.859,0.1128,0.0056
51,04/12/17 07:00:01 PM,67.971,65.658,0.1107,-0.0019
52,04/12/17 08:00:01 PM,59.401,59.788,0.1080,-0.0063
53,04/12/17 09:00:01 PM,55.038,55.213,0.1064,-0.0097
54,04/12/17 10:00:01 PM,52.378,52.597,0.1053,-0.0115
55,04/12/17 11:00:01 PM,50.445,50.268,0.1042,-0.0138
56,04/13/17 12:00:01 AM,49.249,48.938,0.1031,-0.0150
57,04/13/17 01:00:01 AM,49.471,49.383,0.1025,-0.0156
58,04/13/17 02:00:01 AM,48.493,48.805,0.1020,-0.0167
59,04/13/17 03:00:01 AM,44.445,45.036,0.1020,-0.0173
60,04/13/17 04:00:01 AM,45.399,45.941,0.1014,-0.0185
61,04/13/17 05:00:01 AM,44.310,45.172,0.1014,-0.0185
62,04/13/17 06:00:01 AM,44.764,45.127,0.1009,-0.0185
63,04/13/17 07:00:01 AM,47.377,47.334,0.1014,-0.0167
64,04/13/17 08:00:01 AM,50.135,51.282,0.1031,-0.0150
65,04/13/17 09:00:01 AM,68.013,60.561,0.1042,-0.0097
66,04/13/17 10:00:01 AM,57.204,55.125,0.1064,-0.0086
67,04/13/17 11:00:01 AM,57.636,53.994,0.1069,-0.0086
68,04/13/17 12:00:01 PM,74.295,68.956,0.1085,-0.0047
69,04/13/17 01:00:01 PM,80.668,75.463,0.1107,-0.0003
70,04/13/17 02:00:01 PM,77.902,72.997,0.1112,-0.0008
71,04/13/17 03:00:01 PM,73.947,70.115,0.1117,0.0013
72,04/13/17 04:00:01 PM,80.845,78.996,0.1128,0.0056
73,04/13/17 05:00:01 PM,75.074,71.533,0.1128,0.0029
74,04/13/17 06:00:01 PM,69.901,67.199,0.1112,-0.0019
75,04/13/17 07:00:01 PM,59.702,58.541,0.1085,-0.0080
76,04/13/17 08:00:01 PM,50.268,50.445,0.1064,-0.0138
77,04/13/17 09:00:01 PM,46.661,46.974,0.1047,-0.0156
78,04/13/17 10:00:01 PM,44.674,44.809,0.1031,-0.0185
79,04/13/17 11:00:01 PM,40.811,41.369,0.1025,-0.0210
80,04/14/17 12:00:01 AM,43.945,43.716,0.1020,-0.0191
81,04/14/17 01:00:01 AM,46.256,46.031,0.1025,-0.0173
82,04/14/17 02:00:01 AM,46.031,45.399,0.1020,-0.0191
83,04/14/17 03:00:01 AM,45.669,45.444,0.1025,-0.0191
84,04/14/17 04:00:01 AM,45.354,45.082,0.1025,-0.0191
85,04/14/17 05:00:01 AM,41.043,42.064,0.1020,-0.0210
86,04/14/17 06:00:01 AM,41.463,42.663,0.1009,-0.0210
87,04/14/17 07:00:01 AM,41.369,41.878,0.1009,-0.0210
88,04/14/17 08:00:01 AM,47.826,46.391,0.1009,-0.0191
89,04/14/17 09:00:01 AM,61.290,53.253,0.1020,-0.0150
90,04/14/17 10:00:01 AM,65.059,57.592,0.1036,-0.0115
91,04/14/17 11:00:01 AM,73.386,63.219,0.1064,-0.0069
92,04/14/17 12:00:01 PM,79.128,68.099,0.1085,-0.0047
93,04/14/17 01:00:01 PM,83.959,77.509,0.1112,0.0050
94,04/14/17 02:00:01 PM,84.497,91.355,0.1128,0.0097
95,04/14/17 03:00:01 PM,90.703,89.776,0.1143,0.0122
96,04/14/17 04:00:01 PM,83.824,88.396,0.1143,0.0127
97,04/14/17 05:00:01 PM,82.396,87.573,0.1138,0.0122
98,04/14/17 06:00:01 PM,74.899,76.246,0.1122,0.0066
99,04/14/17 07:00:01 PM,64.074,64.845,0.1096,-0.0025
100,04/14/17 08:00:01 PM,52.423,53.253,0.1064,-0.0115
101,04/14/17 09:00:01 PM,48.049,48.983,0.1042,-0.0150
102,04/14/17 10:00:01 PM,47.781,48.583,0.1025,-0.0167
103,04/14/17 11:00:01 PM,45.217,46.031,0.1020,-0.0185
