"Plot Title: 10859634"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10859634, SEN S/N: 10880709)","Water Content, m³/m³ (LGR S/N: 10859634, SEN S/N: 10880713)"
1,04/10/17 04:00:01 PM,-0.0805,0.0850
2,04/10/17 05:00:01 PM,-0.0830,0.0844
3,04/10/17 06:00:01 PM,-0.0889,0.0797
4,04/10/17 07:00:01 PM,-0.0967,0.0725
5,04/10/17 08:00:01 PM,-0.1039,0.0639
6,04/10/17 09:00:01 PM,-0.1075,0.0599
7,04/10/17 10:00:01 PM,-0.1075,0.0588
8,04/10/17 11:00:01 PM,-0.1057,0.0574
9,04/11/17 12:00:01 AM,-0.1057,0.0555
10,04/11/17 01:00:01 AM,-0.1048,0.0544
11,04/11/17 02:00:01 AM,-0.1057,0.0528
12,04/11/17 03:00:01 AM,-0.1048,0.0521
13,04/11/17 04:00:01 AM,-0.1057,0.0509
14,04/11/17 05:00:01 AM,-0.1075,0.0494
15,04/11/17 06:00:01 AM,-0.1237,0.0494
16,04/11/17 07:00:01 AM,-0.1198,0.0494
17,04/11/17 08:00:01 AM,-0.1150,0.0536
18,04/11/17 09:00:01 AM,-0.1131,0.0562
19,04/11/17 10:00:01 AM,-0.1103,0.0581
20,04/11/17 11:00:01 AM,-0.1030,0.0653
21,04/11/17 12:00:01 PM,-0.0923,0.0725
22,04/11/17 01:00:01 PM,-0.0855,0.0768
23,04/11/17 02:00:01 PM,-0.0898,0.0787
24,04/11/17 03:00:01 PM,-0.0889,0.0829
25,04/11/17 04:00:01 PM,-0.0932,0.0810
26,04/11/17 05:00:01 PM,-0.1003,0.0768
27,04/11/17 06:00:01 PM,-0.1039,0.0732
28,04/11/17 07:00:01 PM,-0.1094,0.0678
29,04/11/17 08:00:01 PM,-0.1150,0.0607
30,04/11/17 09:00:01 PM,-0.1169,0.0581
31,04/11/17 10:00:01 PM,-0.1189,0.0562
32,04/11/17 11:00:01 PM,-0.1189,0.0544
33,04/12/17 12:00:01 AM,-0.1189,0.0528
34,04/12/17 01:00:01 AM,-0.1198,0.0521
35,04/12/17 02:00:01 AM,-0.1198,0.0509
36,04/12/17 03:00:01 AM,-0.1169,0.0501
37,04/12/17 04:00:01 AM,-0.1150,0.0494
38,04/12/17 05:00:01 AM,-0.1169,0.0490
39,04/12/17 06:00:01 AM,-0.1179,0.0474
40,04/12/17 07:00:01 AM,-0.1169,0.0474
41,04/12/17 08:00:01 AM,-0.1122,0.0509
42,04/12/17 09:00:01 AM,-0.1075,0.0562
43,04/12/17 10:00:01 AM,-0.1030,0.0632
44,04/12/17 11:00:01 AM,-0.0967,0.0671
45,04/12/17 12:00:01 PM,-0.0847,0.0708
46,04/12/17 01:00:01 PM,-0.0830,0.0745
47,04/12/17 02:00:01 PM,-0.0881,0.0775
48,04/12/17 03:00:01 PM,-0.0915,0.0781
49,04/12/17 04:00:01 PM,-0.0915,0.0794
50,04/12/17 05:00:01 PM,-0.0923,0.0816
51,04/12/17 06:00:01 PM,-0.0994,0.0762
52,04/12/17 07:00:01 PM,-0.1057,0.0691
53,04/12/17 08:00:01 PM,-0.1103,0.0607
54,04/12/17 09:00:01 PM,-0.1103,0.0581
55,04/12/17 10:00:01 PM,-0.1122,0.0562
56,04/12/17 11:00:01 PM,-0.1103,0.0547
57,04/13/17 12:00:01 AM,-0.1122,0.0536
58,04/13/17 01:00:01 AM,-0.1094,0.0528
59,04/13/17 02:00:01 AM,-0.1103,0.0521
60,04/13/17 03:00:01 AM,-0.1103,0.0501
61,04/13/17 04:00:01 AM,-0.1094,0.0501
62,04/13/17 05:00:01 AM,-0.1094,0.0494
63,04/13/17 06:00:01 AM,-0.1094,0.0494
64,04/13/17 07:00:01 AM,-0.1075,0.0509
65,04/13/17 08:00:01 AM,-0.1048,0.0528
66,04/13/17 09:00:01 AM,-0.0932,0.0596
67,04/13/17 10:00:01 AM,-0.0814,0.0607
68,04/13/17 11:00:01 AM,-0.0521,0.0678
69,04/13/17 12:00:01 PM,-0.0557,0.0684
70,04/13/17 01:00:01 PM,-0.0609,0.0715
71,04/13/17 02:00:01 PM,-0.0725,0.0708
72,04/13/17 03:00:01 PM,-0.0765,0.0708
73,04/13/17 04:00:01 PM,-0.0781,0.0745
74,04/13/17 05:00:01 PM,-0.0814,0.0725
75,04/13/17 06:00:01 PM,-0.0898,0.0684
76,04/13/17 07:00:01 PM,-0.0976,0.0621
77,04/13/17 08:00:01 PM,-0.1030,0.0555
78,04/13/17 09:00:01 PM,-0.1039,0.0528
79,04/13/17 10:00:01 PM,-0.1057,0.0509
80,04/13/17 11:00:01 PM,-0.1085,0.0490
81,04/14/17 12:00:01 AM,-0.1057,0.0501
82,04/14/17 01:00:01 AM,-0.1048,0.0501
83,04/14/17 02:00:01 AM,-0.1048,0.0494
84,04/14/17 03:00:01 AM,-0.1039,0.0501
85,04/14/17 04:00:01 AM,-0.0781,0.0494
86,04/14/17 05:00:01 AM,-0.0662,0.0474
87,04/14/17 06:00:01 AM,-0.0662,0.0470
88,04/14/17 07:00:01 AM,-0.0670,0.0470
89,04/14/17 08:00:01 AM,-0.0639,0.0474
90,04/14/17 09:00:01 AM,-0.0609,0.0517
91,04/14/17 10:00:01 AM,-0.0579,0.0562
92,04/14/17 11:00:01 AM,-0.0550,0.0628
93,04/14/17 12:00:01 PM,-0.0436,0.0664
94,04/14/17 01:00:01 PM,-0.0362,0.0708
95,04/14/17 02:00:01 PM,-0.0329,0.0752
96,04/14/17 03:00:01 PM,-0.0316,0.0775
97,04/14/17 04:00:01 PM,-0.0323,0.0768
98,04/14/17 05:00:01 PM,-0.0342,0.0762
99,04/14/17 06:00:01 PM,-0.0409,0.0722
100,04/14/17 07:00:01 PM,-0.0506,0.0653
101,04/14/17 08:00:01 PM,-0.0587,0.0547
102,04/14/17 09:00:01 PM,-0.0632,0.0517
103,04/14/17 10:00:01 PM,-0.0639,0.0501
104,04/14/17 11:00:01 PM,-0.0662,0.0482
105,04/15/17 12:00:01 AM,-0.0670,0.0462
106,04/15/17 01:00:01 AM,-0.0662,0.0454
107,04/15/17 02:00:01 AM,-0.0662,0.0434
108,04/15/17 03:00:01 AM,-0.0662,0.0425
109,04/15/17 04:00:01 AM,-0.0639,0.0425
110,04/15/17 05:00:01 AM,-0.0639,0.0413
111,04/15/17 06:00:01 AM,-0.0639,0.0405
112,04/15/17 07:00:01 AM,-0.0654,0.0401
113,04/15/17 08:00:01 AM,-0.0616,0.0425
114,04/15/17 09:00:01 AM,-0.0572,0.0482
115,04/15/17 10:00:01 AM,-0.0528,0.0570
116,04/15/17 11:00:01 AM,-0.0471,0.0632
117,04/15/17 12:00:01 PM,-0.0342,0.0684
118,04/15/17 01:00:01 PM,-0.0284,0.0725
119,04/15/17 02:00:01 PM,-0.0247,0.0775
120,04/15/17 03:00:01 PM,-0.0222,0.0797
121,04/15/17 04:00:01 PM,-0.0228,0.0768
122,04/15/17 05:00:01 PM,-0.0284,0.0725
123,04/15/17 06:00:01 PM,-0.0342,0.0691
124,04/15/17 07:00:01 PM,-0.0416,0.0632
125,04/15/17 08:00:01 PM,-0.0499,0.0562
126,04/15/17 09:00:01 PM,-0.0528,0.0528
127,04/15/17 10:00:01 PM,-0.0535,0.0509
128,04/15/17 11:00:01 PM,-0.0572,0.0482
129,04/16/17 12:00:01 AM,-0.0572,0.0474
130,04/16/17 01:00:01 AM,-0.0579,0.0462
131,04/16/17 02:00:01 AM,-0.0601,0.0446
132,04/16/17 03:00:01 AM,-0.0601,0.0442
133,04/16/17 04:00:01 AM,-0.0609,0.0434
134,04/16/17 05:00:01 AM,-0.0609,0.0421
135,04/16/17 06:00:01 AM,-0.0616,0.0421
136,04/16/17 07:00:01 AM,-0.0616,0.0421
137,04/16/17 08:00:01 AM,-0.0609,0.0434
138,04/16/17 09:00:01 AM,-0.0572,0.0482
139,04/16/17 10:00:01 AM,-0.0521,0.0544
140,04/16/17 11:00:01 AM,-0.0430,0.0599
141,04/16/17 12:00:01 PM,-0.0342,0.0653
142,04/16/17 01:00:01 PM,-0.0265,0.0695
143,04/16/17 02:00:01 PM,-0.0342,0.0678
144,04/16/17 03:00:01 PM,-0.0389,0.0646
145,04/16/17 04:00:01 PM,-0.0402,0.0628
146,04/16/17 05:00:01 PM,-0.0416,0.0607
147,04/16/17 06:00:01 PM,-0.0457,0.0581
148,04/16/17 07:00:01 PM,-0.0485,0.0544
149,04/16/17 08:00:01 PM,-0.0521,0.0521
150,04/16/17 09:00:01 PM,-0.0528,0.0501
151,04/16/17 10:00:01 PM,-0.0550,0.0482
152,04/16/17 11:00:01 PM,-0.0550,0.0482
153,04/17/17 12:00:01 AM,-0.0550,0.0482
154,04/17/17 01:00:01 AM,-0.0550,0.0482
155,04/17/17 02:00:01 AM,-0.0550,0.0474
156,04/17/17 03:00:01 AM,-0.0550,0.0470
157,04/17/17 04:00:01 AM,-0.0550,0.0470
158,04/17/17 05:00:01 AM,-0.0557,0.0454
159,04/17/17 06:00:01 AM,-0.0550,0.0462
160,04/17/17 07:00:01 AM,-0.0535,0.0470
161,04/17/17 08:00:01 AM,-0.0521,0.0482
162,04/17/17 09:00:01 AM,-0.0485,0.0528
163,04/17/17 10:00:01 AM,-0.0436,0.0607
164,04/17/17 11:00:01 AM,-0.0382,0.0653
165,04/17/17 12:00:01 PM,-0.0303,0.0678
