site,microsite,tag,shrub gender,census,date,treatment,cover ,erodium,showy madia,schismus,bromus,recurved larkspur,lemmon jewel-flower,sand cress,amsinckia,Hordeum,Owls clover,pale-yellow layia,Lasthenia,Poa,Phacelia,total density,richness,native.density,exotic.density,native.richness,exotic.richness,prop.species.invaded,prop.density.invaded
1,Shrub,147,f,1,feb 4th,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,148,o,1,feb 4th,clipped,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,30,0,1,1,1
1,Shrub,149,f,1,feb 4th,unclipped,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1,Open,151,o,1,feb 4th,unclipped,20,85,0,0,32,2,0,0,0,0,0,0,0,0,0,119,3,2,117,1,2,0.666666667,0.983193277
1,Shrub,152,f,1,feb 4th,clipped,10,33,0,22,0,0,0,4,0,0,0,0,0,0,0,59,3,4,55,1,2,0.666666667,0.93220339
1,Open,154,o,1,feb 4th,clipped,30,34,0,85,0,1,12,0,0,0,0,0,0,0,0,132,4,13,119,2,2,0.5,0.901515152
1,Shrub,155,f,1,feb 4th,unclipped,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1,Open,157,o,1,feb 4th,unclipped,20,63,3,15,0,0,0,0,0,0,0,0,0,0,0,81,3,3,78,1,2,0.666666667,0.962962963
1,Shrub,158,f,1,feb 4th,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,160,o,1,feb 4th,clipped,25,62,0,16,0,0,0,0,0,0,0,0,0,0,0,78,2,0,78,0,2,1,1
1,Shrub,161,f,1,feb 4th,unclipped,5,11,0,5,0,0,0,1,0,0,0,0,0,0,0,17,3,1,16,1,2,0.666666667,0.941176471
1,Open,163,o,1,feb 4th,unclipped,60,88,2,25,0,4,0,0,0,0,0,0,0,0,0,119,4,6,113,2,2,0.5,0.949579832
2,Shrub,188,f,1,feb 4th,clipped,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,2,1,1
2,Open,189,o,1,feb 4th,clipped,30,2,0,100,0,0,0,0,0,0,0,0,0,0,0,102,2,0,102,0,2,1,1
