site,microsite,tag#,shrub gender,census,date,treatment,% cover ,SWC
1,Shrub,147,f,3,april 1st,clipped,0,0
1,Open,148,o,3,april 1st,clipped,20,0.5
1,Shrub,149,f,3,april 1st,unclipped,1,2.3
1,Open,151,o,3,april 1st,unclipped,20,2.4
1,Shrub,152,f,3,april 1st,clipped,10,4.2
1,Open,154,o,3,april 1st,clipped,30,4.4
1,Shrub,155,f,3,april 1st,unclipped,1,3.7
1,Open,157,o,3,april 1st,unclipped,20,2.8
1,Shrub,158,f,3,april 1st,clipped,0,0
1,Open,160,o,3,april 1st,clipped,25,0
1,Shrub,161,f,3,april 1st,unclipped,5,0
1,Open,163,o,3,april 1st,unclipped,60,0.4
2,Shrub,188,f,3,april 1st,clipped,2,4
2,Open,189,o,3,april 1st,clipped,30,2.5
2,Shrub,190,f,3,april 1st,unclipped,2,0
2,Open,191,o,3,april 1st,unclipped,35,1.6
2,Shrub,192,m,3,april 1st,clipped,40,0
2,Open,193,o,3,april 1st,clipped,30,2
2,Shrub,194,f,3,april 1st,unclipped,5,0
2,Open,195,o,3,april 1st,unclipped,15,0.1
2,Shrub,196,m,3,april 1st,clipped,5,0
2,Open,197,o,3,april 1st,clipped,15,3
2,Shrub,200,f,3,april 1st,unclipped,20,0
2,Open,WASHER,o,3,april 1st,unclipped,25,2
3,Shrub,111,m,3,april 1st,unclipped,50,3.2
3,Open,113,o,3,april 1st,unclipped,40,6.2
3,Shrub,114,m,3,april 1st,clipped,50,4.8
3,Open,116,o,3,april 1st,clipped,30,5.8
3,Shrub,117,m,3,april 1st,unclipped,50,4.4
3,Open,119,o,3,april 1st,unclipped,20,6.9
3,Shrub,120,f,3,april 1st,clipped,75,2.4
3,Open,122,o,3,april 1st,clipped,50,4.2
3,Shrub,123,m,3,april 1st,unclipped,20,3.2
3,Open,125,o,3,april 1st,unclipped,30,2.8
3,Shrub,126,m,3,april 1st,clipped,80,2.4
3,Open,128,o,3,april 1st,clipped,90,7.2
4,Shrub,198,m,3,april 1st,clipped,25,0
4,Open,129,o,3,april 1st,clipped,10,1.4
4,Shrub,137,m,3,april 1st,unclipped,25,0
4,Open,139,o,3,april 1st,unclipped,40,1.8
4,Shrub,130,m,3,april 1st,clipped,15,0
4,Open,132,o,3,april 1st,clipped,40,0.4
4,Shrub,133,f,3,april 1st,unclipped,5,0
4,Open,135,o,3,april 1st,unclipped,55,0
4,Shrub,140,f,3,april 1st,clipped,30,0
4,Open,142,o,3,april 1st,clipped,35,0
4,Shrub,143,f,3,april 1st,unclipped,15,0
4,Open,145,o,3,april 1st,unclipped,15,5.2
5,Shrub,176,m,3,april 1st,unclipped,40,4.2
5,Open,177,o,3,april 1st,unclipped,30,5.2
5,Shrub,178,f,3,april 1st,clipped,5,4.2
5,Open,179,o,3,april 1st,clipped,70,5.4
5,Shrub,180,m,3,april 1st,unclipped,75,6.4
5,Open,181,o,3,april 1st,unclipped,80,6.8
5,Shrub,182,f,3,april 1st,clipped,11,6.4
5,Open,183,o,3,april 1st,clipped,65,6
5,Shrub,184,f,3,april 1st,unclipped,5,3
5,Open,185,o,3,april 1st,unclipped,80,10
5,Shrub,186,f,3,april 1st,clipped,50,2.2
5,Open,187,o,3,april 1st,clipped,30,7.4
6,Shrub,164,m,3,april 1st,unclipped,0,4
6,Open,165,o,3,april 1st,unclipped,5,12.5
6,Shrub,166,m,3,april 1st,clipped,20,1
6,Open,167,o,3,april 1st,clipped,2,6.7
6,Shrub,168,m,3,april 1st,unclipped,2,4.6
6,Open,169,o,3,april 1st,unclipped,5,11
6,Shrub,170,m,3,april 1st,clipped,5,1.7
6,Open,171,o,3,april 1st,clipped,5,3.6
6,Shrub,172,m,3,april 1st,unclipped,30,9.4
6,Open,173,o,3,april 1st,unclipped,20,10.4
6,Shrub,174,m,3,april 1st,clipped,30,6.7
6,Open,175,o,3,april 1st,clipped,45,8.4
1,Shrub,147,f,4,may 21st,clipped,0,0
