species,origin,latin
erodium,exotic,Erodium cicutarium
showy madia,native,Madia radiata
schismus,exotic,Schismus arabicus
bromus,exotic,Bromus madritensis
recurved larkspur,native,Delphinium recurvatum 
lemmon jewel-flower,native,Caulanthus lemmonii 
sand cress,native,
amsinckia,native,Amsinckia intermedia
Hordeum,native,Hordeum brachyantherum 
Owls clover,native,Castilleja exserta 
pale-yellow layia,native,Layia heterotricha 
Lasthenia,native,Lasthenia californica
Poa,native,Poa secunda
Phacelia,native,Phacelia tanacetifolia
